1,(单选题)某股价指数，按基期加权法编制，并以样本股的流通股数为权数。选取A、B、C三种股票为样本股，样 本股的基期价格分别为5.00元，8.00元，4.00元，流通股数分别为7000万股，9000万股，8000万股。某交 易日，这三种股票的收盘价分别为9.50元，15.00元，8.5元，设基础指数为1000点，则该日的加权股价指 数是( )。 ,<p>A1938.85</p><p>B1939.84</p><p>C1938.86</p><p>D1938.84</p>,4,A,该日的加权股价指数是[（7000*9.5+9000*15+8000*8.5）/（7000*5+9000*8+8000*4)]*1000=1938.849。,0,0
1,(单选题)以下关于我国利用国际债券市场筹集资金的说法正确的是（）。Ⅰ.我国发行国际债券始于20世纪70年代初期 Ⅱ.主要的债券品种有政府债券、金融债券和可转换公司债券 Ⅲ.1987年10月，财政部在德国法兰克福发行了3亿马克的公募债券，是我国经济体制改革后政府首次在国 外发行债券 Ⅳ.到2001年底，转国发行了四种可供境外投资者投资的可转换公司债券 ,<p>AⅡ.Ⅲ.Ⅳ</p><p>BⅠ.Ⅱ.Ⅲ</p><p>CⅠ.Ⅱ.Ⅳ</p><p>DⅠ.Ⅲ.Ⅳ</p>,4,A,我国发行国际债券始于20世纪80年代初期。,0,0
1,(单选题)下列属于ETF联接基金主要特征的是（）。 Ⅰ.、ETF联接基金可以提供目前ETF不具备的定期定额等方式来借入ETF的运作 Ⅱ.、联接基金能参与ETF的套利 Ⅲ.、联接基金依附于主基金 Ⅳ.、联接基金不是基金中的基金（FOF） ,<p>AⅢ.Ⅳ</p><p>BⅠ.Ⅲ.Ⅳ</p><p>CⅠ.Ⅲ</p><p>DⅡ.Ⅲ.Ⅳ</p>,4,B,联接基金不能参与ETF的套利，发展联接基金主要是为了做大指数基金的规模。联接基金的目的不在 于套利，而是通过把银行渠道的资金引进来，做指数基金的规模，推动指数化投资。,0,0
1,(单选题)在证券公司客户资产管理业务中，证券公司违反法律、行政法规的规定，因被中国证监会依法撤销证券 资产管理业务许可、责令停业整顿，或者因（）等原因不能履行职责的，证券公司应当按照有关监管要 求妥善处理有关事宜，资产管理合同应当对此作出相应约定。 Ⅰ.停业 Ⅱ.解散 Ⅲ.撤销 Ⅳ.破产,<p>AⅡ.Ⅲ.Ⅳ</p><p>BⅠ.Ⅱ.Ⅲ</p><p>CⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅳ</p>,4,C,《证券公司定向资产管理业务实施细则》第五十条规定，证券公司违反法律、行政法规的规定，被中国证监会依法撤销证券资产管理业务许可、责令停业整顿，或者因停业、解散、撤销、破产等原因不 能履行职责的，证券公司应当按照有关监管要求妥善处理有关事宜，资产管理合同应当对此作出相应 约定。,0,0
1,(单选题)“荐股软件”是指具备下列（）的软件产品、软件工具或者终端设备。 Ⅰ.提供涉及具体证券投资品种的投资分析意见，或者预测具体证券投资品种的价格走势 Ⅱ.提供具体证券投资品种选择建议 Ⅲ.提供具体证券投资品种的买卖时机建议 Ⅳ.提供其他证券投资分析、预测或者建议,<p>AⅡ.Ⅲ</p><p>BⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>CⅡ.Ⅳ</p><p>DⅡ.Ⅲ.Ⅳ</p>,4,B,“荐股软件”是指具备下列一项或多项证券投资咨询服务功能的软件产品、软件工具或者终端设备：(1)提供涉及具体证券投资品种的投资分析意见，或者预测具体证券投资品种的价格走势。(2)提供具体 证券投资品种选择建议。(3)提供具体证券投资品种的买卖时机建议。(4)提供其他证券投资分析、预测 或者建议。,0,0
1,(单选题)证券、期货投资咨询机构及其投资咨询人员，应当以行业公认的（）的态度，为投资人或者客户提供证 券、期货投资咨询服务。 Ⅰ.谨慎 Ⅱ.诚实 Ⅲ.勤勉尽责 Ⅳ.稳健,<p>AⅠ.Ⅱ.Ⅲ</p><p>BⅡ.Ⅲ.Ⅳ</p><p>CⅠ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅳ</p>,4,A,证券、期货投资咨询机构及其投资咨询人员，应当以行业公认的谨慎、诚实和勤勉尽责的态度，为投 资人或者客户提供证券、期货投资咨询服务。,0,0
1,(单选题)按照《上海证券交易所会员客户证券交易行为管理实施细则》的规定，会员应重点监控（）的交易行 为。 Ⅰ.证券交易所列为限制交易账户 Ⅱ.在最近一季度被交易所列为监管关注账户 Ⅲ.其他需要重点监控的账户 Ⅳ.持续盈利的账户,<p>AⅡ.Ⅲ.Ⅳ</p><p>BⅠ.Ⅱ.Ⅲ</p><p>CⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅳ</p>,4,B,《上海证券交易所会员客户证券交易行为管理实施细则》第二十一条规定，会员应当重点监控下列证 券账户的交易行为：被本所列为限制交易账户；在最近一季度被本所列为监管关注账户；其他需要重 点监控的账户。,0,0
1,(单选题)证券投资顾问业务与证券经纪业务的差异有（）。 Ⅰ.具有不同的功能和要素 Ⅱ.是否收取专门投资顾问服务报酬 Ⅲ.是否取得投资顾问资格 Ⅳ.收费不会有融合 ,<p>AⅡ.Ⅲ.Ⅳ</p><p>BⅠ.Ⅱ.Ⅲ</p><p>CⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅳ</p>,4,B,暂无解析。,0,0
1,(单选题)下列关于存托凭证的优点，正确的是（）。 Ⅰ.市场容量大，筹资能力强 Ⅱ.以欧元交易，且通过投资者熟悉的清算公司进行清算 Ⅲ.避开直接发行股票与债券的法律要求 Ⅳ.上市手续简单，发行成本低,<p>AⅠ.Ⅱ.Ⅳ</p><p>BⅠ.Ⅲ.Ⅳ</p><p>CⅡ.Ⅲ</p><p>DⅠ.Ⅱ.Ⅲ</p>,4,B,考核存托凭证的优点。投资于ADR是以美元交易，且通过投资者熟悉的美国清算公司进行清算,0,0
1,(单选题)下列关于证监会派出机构的表述中，正确的是（）。 Ⅰ.中国证监会在上海、深圳等地设立8个稽查局 Ⅱ.中国证监会在各省、自治区、直辖市、计划单列市共设立36个证局 Ⅲ.依法查处辖区内监管范围的违法、违规案件，调解证券、期货业务纠纷和争议 Ⅳ.依据中国证监会授权对辖区内的上市公司，证券、期货经营机构，证券、期货投资咨询机构和从事证 券业务的律师事务所等中介机构的证券业务活动进行监督管理 ,<p>AⅡ.Ⅲ.Ⅳ</p><p>BⅠ.Ⅱ.Ⅲ</p><p>CⅠ.Ⅱ.Ⅳ</p><p>DⅠ.Ⅲ</p>,4,A,考察中国证监会派出机构。中国证监会在上海、深圳等地设立9个稽查局。,0,0
1,(单选题)以下关于现金股利说法正确的是（）。 Ⅰ.机构投资者获取现金分红时需要缴税 Ⅱ.股东应为此支付所得税 Ⅲ.也叫派现，是以现金分红方式将盈余公积和当期应付利润的部分或全部发放给股东 Ⅳ.现金分红适用的利息税率是20%，目前减半征收,<p>AⅡ.Ⅲ.Ⅳ</p><p>BⅠ.Ⅱ</p><p>CⅠ.Ⅱ.Ⅲ</p><p>DⅠ.Ⅲ.Ⅳ</p>,4,A,考察股利政策。,0,0
1,(单选题)下列各项属于《证券投资基金法》对法律责任的规定内容的是（）。 Ⅰ.证券监管机构工作人员玩忽职守、滥用职权、徇私舞弊或者利用职务上的便利索取或者收受他人财物 的处罚 Ⅱ.运用募集资金投资亏损的处罚 Ⅲ.基金信息披露义务人不依法披露基金信息或者披露的信息虚假记载、误导性陈述或者重大遗漏的处 罚，出具公开披露基金信息专业机构违法的处罚；基金管理人或者基金托管人不按照规定召集基金份额持有人大会的处罚 Ⅳ.擅自从事基金管理业务或者基金托管业务的处罚,<p>AⅠ.Ⅲ.Ⅳ</p><p>BⅡ.Ⅲ.Ⅳ</p><p>CⅠ.Ⅱ.Ⅲ</p><p>DⅠ.Ⅳ</p>,4,A,除A、C、D三项外，《中华人民共和国证券投资基金法》对法律责任的规定内容还包括：基金管理 人、基金托管人履行各自职责过程中违反本法规定或者基金合同约定应承担的责任；违法动用募集资 金的处罚；擅自募集基金的处罚；擅自设立基金管理公司的处罚；基金管理人或基金托管人违反分别 管理、分账保管、挪用基金财产的处罚；基金管理人、基金托管人的专门基金托管部门的从业人员违 法的处罚。,0,0
1,(单选题)境内自然人因遗产继承办理公众股非交易过户，申请人需提供的材料有（）。 Ⅰ.继承公证书 Ⅱ.证明被继承人死亡的有效法律文件及复印件 Ⅲ.继承人身份证原件及复印件 Ⅳ.证券账户卡原件及复印件,<p>AⅠ.Ⅱ.Ⅲ</p><p>BⅠ.Ⅲ.Ⅳ</p><p>CⅡ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅲ.Ⅳ</p>,4,D,自然人因遗产继承办理公众股非交易过户需提供的材料有：申请人填写股份非交易过户申请表，并提 交继承公证书、证明被继承人死亡的有效法律文件及复印件、继承人身份证原件及复印件、证券账户 卡原件及复印件、股份托管证券营业部出具的所涉流通股份冻结证明。申请人委托他人代办的，还应 提供经公证的代理委托书、代办人有效身份证明文件及复印件。,0,0
1,(单选题)中国证监会及其派出监管机构依法对证券公司的经纪业务进行监管，主要监管措施包括（）。 Ⅰ.证券公司向监管机构的报告制度 Ⅱ.定期巡视 Ⅲ.信息披露 Ⅳ.检查制度 ,<p>AⅠⅡⅢ</p><p>BⅠⅢ Ⅳ</p><p>CⅢ Ⅳ</p><p>DⅡⅢ Ⅳ</p>,4,B,中国证监会及其派出监管机构依法对证券公司的经纪业务进行监管，主要监管措施包括以下几方面：(1)证券公司向监管机构的报告制度。(2)信息披露。(3)检查制度。,0,0
1,(单选题)关于封闭式基金的上市交易条件的表述，正确的是（）。 Ⅰ.基金合同期限在5年以上 Ⅱ.基金份额持有人不少于10000人 Ⅲ.基金的募集符合《证券投资基金法》规定 Ⅳ.基金募集金额不低于2亿元人民币,<p>AⅡ.Ⅲ.Ⅳ</p><p>BⅠ.Ⅲ.Ⅳ</p><p>CⅠ.Ⅱ.Ⅲ</p><p>DⅠ.Ⅱ.Ⅳ</p>,4,B,基金份额持有人不少于1000人。,0,0
1,(单选题)下列属于基金从业人员在执业活动中接触到的秘密种类的是（）。 Ⅰ.公开披露信息 Ⅱ.客户资料 Ⅲ.内幕信息 Ⅳ.商业秘密,<p>AⅡ.Ⅲ.Ⅳ</p><p>BⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>CⅠ.Ⅱ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅲ</p>,4,A,基金从业人员在执业活动中接触到的秘密主要包括三类：一是商业秘密；二是客户资料；三是内幕信 息。,0,0
1,(单选题)下列属于基金业协会的会员类别的是（）。 Ⅰ.联席会员 Ⅱ.特别会员 Ⅲ.临时会员 Ⅳ.普通会员,<p>AⅢ.Ⅳ</p><p>BⅠ.Ⅱ</p><p>CⅠ.Ⅱ.Ⅳ</p><p>DⅡ.Ⅲ.Ⅳ</p>,4,C,会员分为三类：普通会员、联系会员、特别会员。,0,0
1,(单选题)合规管理的基本原则包括（）。 Ⅰ.客观性原则 Ⅱ.协调性原则 Ⅲ.独立性原则 Ⅳ.公开性原则,<p>AⅡ.Ⅲ.Ⅳ</p><p>BⅠ.Ⅲ.Ⅳ</p><p>CⅠ.Ⅱ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅲ</p>,4,D,合规管理的基本原则包括：独立性原则、客观性原则、公正性原则、专业性原则、协调性原则。,0,0
1,(单选题)基金管理人召集基金份额持有人大会，应至少提前30日公告大会事项包括（）。 Ⅰ.表决方式 Ⅱ.基金份额持有人名录 Ⅲ.召开时间 Ⅳ.审议事项,<p>AⅡ.Ⅲ.Ⅳ</p><p>BⅠ.Ⅲ.Ⅳ</p><p>CⅠ.Ⅱ.Ⅲ</p><p>DⅠ.Ⅲ.Ⅳ</p>,4,B,管理人召集基金份额持有人大会的，应至少提前30日公告大会的召开时间、会议形式、审议事项、议 事程序和表决方式等事项。,0,0
1,(单选题)下列关于基金的说法，错误的是（）。 Ⅰ.封闭式基金没有规模限制 Ⅱ.开放式基金规模固定 Ⅲ.封闭式基金的基金份额在证券交易所上市交易 Ⅳ.开放式基金的基金份额不能在证券交易所上市交易 ,<p>AⅠ.Ⅱ.Ⅲ</p><p>BⅡ.Ⅲ.Ⅳ</p><p>CⅠ.Ⅱ.Ⅳ</p><p>DⅠ.Ⅲ.Ⅳ</p>,4,C,封闭式基金份额固定，在完成募集后，基金份额在证券交易所上市交易。投资者买卖封闭式基金份 额，只能委托证券公司在证券交易所按市价买卖，交易在投资者之间完成。开放式基金份额不固定， 投资者可以按照基金管理人确定的时间和地点向基金管理人或其销售代理人提出申购、赎回申请，交 易在投资者与基金管理人之间完成。,0,0
1,(单选题)下列关于非法集资类犯罪立案追诉标准的说法中，正确的是（）。 Ⅰ.上市公司及其董事、监事、高级管理人员、实际控制人、控股股东或者其他关联人单独或者合谋，利 用信息优势，操纵该公司证券交易价格或者证券交易量的 Ⅱ.单独或者合谋，当日连续申报买入或者卖出同一证券、期货合约并在成交前撤回申报，撤回申报量占 当日该种证券总申报量或者该种期货合约总申报量30%以上的 Ⅲ.与他人串通，以事先约定的时间、价格和方式相互进行证券或者期货合约交易，且在该证券或者期货 合约连续20个交易日内成交量累计达到该证券或者期货合约同期总成交 ,<p>AⅠ.Ⅱ.Ⅳ</p><p>BⅠ.Ⅲ.Ⅳ</p><p>CⅡ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅲ.Ⅳ</p>,4,B,非法集资类犯罪立案追诉标准之一是单独或者合谋，当日连续申报买入或者卖出同一证券、期货合约 并在成交前撤回申报，撤回申报量占当日该种证券总申报量或者该种期货合约总申报量50%以上的。,0,0
1,(单选题)基金管理公司、基金托管和销售机构的从业人员的特定禁止行为有（）。 Ⅰ.在不同基金资产之间、基金资产和其他受托资产之间进行利益输送 Ⅱ.利用基金的相关信息为本人或者他人牟取私利Ⅲ.挪用基金投资者的交易资金和基金份额 Ⅳ.隐匿、伪造、篡改或者毁损交易记录,<p>AⅡ.Ⅳ</p><p>BⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>CⅠ.Ⅱ.Ⅲ</p><p>DⅡ.Ⅲ.Ⅳ</p>,4,C,基金管理公司、基金托管和销售机构的从业人员的特定禁止行为包括：(1)违反有关信息披露规则，私 自泄漏基金的证券买卖信息。(2)在不同基金资产之间、基金资产和其他受托资产之间进行利益输送。(3)利用基金的相关信息为本人或者他人牟取私利。(4)挪用基金投资者的交易资金和基金份额。(5)在基 金销售过程中误导客户。(6)中国证监会、中国证券业协会禁止的其他行为。,0,0
1,(单选题)有关权证的行权比例，下列表述错误的是（）。 Ⅰ.是指单位权证可以购买或出售的标的证券价格 Ⅱ.标的证券发生除息的，行权比例应作调整 Ⅲ.标的证券发生除权的，行权比例应作调整 Ⅳ.标的证券发生除权的，行权比例不做调整 ,<p>AⅠ.Ⅱ.Ⅲ</p><p>BⅠ.Ⅲ</p><p>CⅠ.Ⅱ.Ⅳ</p><p>DⅡ.Ⅲ.Ⅳ</p>,4,C,此题考察权证要素中的行权比例。行权比例是是指单位权证可以购买或出售的标的证券数量而不是价 格；发生除权的，行权比例应作调整，除息的不调整。,0,0
1,(单选题)下列属于证券业从业人员申请执业证书条件的是（）。 Ⅰ.已被机构聘用 Ⅱ.最近3年未受过刑事处罚 Ⅲ.未被中国证监会认定为证券市场禁人者，或者已过禁入期的 Ⅳ.品行端正，具有良好的职业道德 ,<p>AⅡ.Ⅲ.Ⅳ</p><p>BⅠ.Ⅱ.Ⅳ</p><p>CⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅲ</p>,4,C,ⅠⅡⅢ Ⅳ四项均是证券业从业人员申请执业证书的条件。取得证券业从业资格的人员，符合相应条件 的，可以通过机构申请执业证书。,0,0
1,(单选题)属于封闭式基金合同内容的是（）。 Ⅰ.确定基金交易价格 Ⅱ.基金份额持有人的权利和义务 Ⅲ.基金份额发售、交易安排 Ⅳ.基金财产清算方式 ,<p>AⅡ.Ⅲ.Ⅳ</p><p>BⅠ.Ⅱ.Ⅲ</p><p>CⅠ.Ⅱ.Ⅳ</p><p>DⅠ.Ⅲ.Ⅳ</p>,4,A,本题考查基金合同的内容。,0,0
1,(单选题)下列属于基金管理公司内部控制总体目标的是（）。 Ⅰ.保证公司经营运作严格遵守有关法律法规和行业监管规则 Ⅱ.确保基金、公司财务和其他信息真实、准确、完整、及时 Ⅲ.确保客户及时买到基金 Ⅳ.防范和化解经营风险，提高经营管理的效益，确保经营稳健运行和受托资产的安全完整 ,<p>AⅠ.Ⅱ.Ⅲ</p><p>BⅡ.Ⅲ.Ⅳ</p><p>CⅠ.Ⅱ.Ⅳ</p><p>DⅠ.Ⅲ.Ⅳ</p>,4,C,本题考查基金管理公司内部控制的总体目标。,0,0
1,(单选题)下列关于证券公司开展中间介绍业务的有关规定的说法中，正确的是（）。 Ⅰ.期货公司与证券公司应当建立介绍业务的对接规则，明确办理开户、行情和交易系统的安装维护、客 户投诉的接待处理等业务的协作程序和规则 Ⅱ.证券公司与期货公司应当集中经营，不需要保持财务、人员、经营场所等分开隔离 Ⅲ.证券公司应当根据内部控制和风险隔离制度的规定，指定有关负责人和有关部门负责介绍业务的经营 管理 Ⅳ.证券公司应当配备足够的具有期货从业人员资格的业务人员，不得任用不具有期货从业人员资格的业 务人员从事介绍业务,<p>AⅠ.Ⅱ.Ⅲ</p><p>BⅠ.Ⅲ.Ⅳ</p><p>CⅡ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅲ.Ⅳ</p>,4,B,II项说法错误，应为“证券公司与期货公司应当独立经营，保持财务、人员、经营场所等分开隔 离”。,0,0
1,(单选题)下列属于证券公司的风险监控体系一般规定的是（）。 Ⅰ.建立防火墙制度，确保自营业务与经纪、资产管理、投资银行等业务在人员、信息、账户、资金、会 计核算上严格分离 Ⅱ.各证券公司应按要求将全部自营账户明细（含不规范账户）报送公司注册地证监局，由证监局转报上 海、深圳证券交易所以及中国证券登记结算有限公司备案 Ⅲ.风险监控部门应能够正常履行职责，发现业务运作或风险监控指标值存在风险隐患或不合规时，要立 即向董事会和投资决策机构报告并提出处理建议 Ⅳ.根据自身实际情况，引进和开发有效的风险管理工具，逐步建立完善的 ,<p>AⅠ.Ⅱ.Ⅲ</p><p>BⅠ.Ⅱ.Ⅳ</p><p>CⅠ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅲ.Ⅳ</p>,4,C,I、III、IV项属于证券公司的风险监控体系一般规定的内容；II项属于证券公司投资决策机制的一般规 定的内容。,0,0
1,(单选题)下列属于财务顾问出具财务意见承诺内容的是（）。 Ⅰ.已对委托人披露的文件进行核查，确信披露文件的内容与格式符合要求 Ⅱ.有关本次并购重组事项的财务顾问专业意见已提交内部核查机构审查，并同意出具此专业意见 Ⅲ.已按照规定履行尽职调查义务，有充分理由确信所发表的专业意见与委托人披露的文件内容不存在实 质性差异Ⅳ.指定财务顾问主办人与中国证监会进行专业沟通，并按照中国证监会提出的反馈意见作出回复,<p>AⅠ.Ⅱ.Ⅲ</p><p>BⅠ.Ⅲ.Ⅳ</p><p>CⅡ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅲ.Ⅳ</p>,4,A,I、II、III三项属于财务顾问出具财务意见的承诺内容；IV项属于财务顾问应当配合中国证监会工作的 内容。,0,0
1,(单选题)证券公司及其从业人员的欺诈客户的行为包括（）。 Ⅰ.单独或者合谋，集中资金优势、持股优势或者利用信息优势联合或者连续买卖，操纵证券交易价格或 者数量 Ⅱ.违背客户的委托为其买卖证券 Ⅲ.不在规定的时间内向客户提供交易的书面确认文件 Ⅳ.挪用客户所委托买卖的证券或者客户账户上的资金,<p>AⅡ.Ⅲ.Ⅳ</p><p>BⅠ.Ⅱ.Ⅲ</p><p>CⅠ.Ⅱ.Ⅳ</p><p>DⅠ.Ⅲ</p>,4,A,“单独或者合谋，集中资金优势、持股优势或者利用信息优势联合或者连续买卖，操纵证券交易价格 或者数量”属于操纵市场行为。,0,0
1,(单选题)证券公司经营融资融券业务，应当以自己的名义，在证券登记结算机构开立的账户有（）。 Ⅰ.融券专用证券账户 Ⅱ.客户信用交易担保证券账户 Ⅲ.信用交易证券交收账户 Ⅳ.信用交易资金交收账户,<p>AⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>BⅢ.Ⅳ</p><p>CⅡ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅲ</p>,4,A,证券公司经营融资融券业务，应当以自己的名义，在证券登记结算机构分别开立融券专用证券账户、 客户信用交易担保证券账户、信用交易证券交收账户和信用交易资金交收账户。,0,0
1,(单选题)下列属于证券投资基金销售人员的是（）。 Ⅰ.基金销售机构总部的从事基金销售业务管理的人员 Ⅱ.部门基金业务负责人 Ⅲ.基金销售机构从事基金宣传推介活动的人员 Ⅳ.基金销售机构从事基金理财业务咨询的人员,<p>AⅠ.Ⅱ.Ⅲ</p><p>BⅠ.Ⅱ.Ⅳ</p><p>CⅡ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅲ.Ⅳ</p>,4,D,证券投资基金销售人员是指下列基金销售人员：(1)基金销售机构总部及主要分支机构负责基金销售业 务的部门中从事基金销售业务管理的人员，包括部门基金业务负责人。(2)基金销售机构从事基金宣传 推介活动、基金理财业务咨询等活动的人员。,0,0
1,(单选题)有限责任公司的董事会行使的职权包括（）。 Ⅰ.执行股东会的决议 Ⅱ.制订公司的年度财务预算方案、决算方案 Ⅲ.决定公司的经营计划和投资方案 Ⅳ.修改公司章程 ,<p>AⅠ.Ⅱ.Ⅲ</p><p>BⅠ.Ⅱ.Ⅳ</p><p>CⅡ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅲ.Ⅳ</p>,4,A,有限责任公司的董事会行使下列职权：(1)召集股东会，并向股东会报告工作。(2)执行股东会的决议。(3)决定公司的经营计划和投资方案。(4)制订公司的年度财务预算方案、决算方案。(5)制订公司的利润 分配方案和弥补亏损方案。(6)制订公司增加或者减少注册资本以及发行公司债券的方案。(7)制订公司 合并、分立、变更公司形式、解散的方案。(8)决定公司内部管理机构的设置。(9)决定聘任或者解聘公 司经理及其报酬事项，并根据经理的提名，决定聘任或者解聘公司副经理、财务负责人及其报酬事 项。(10)制定公司的基本管理制度。,0,0
1,(单选题)申请人通过系统向证券公司、证券投资咨询机构提交执业注册申请时，应同时提交的材料有（）。 Ⅰ.执业注册申请表 Ⅱ.身份证复印件 Ⅲ.学历证书复印件 Ⅳ.具有1年以上证券业务或证券服务业务经历的工作证明 ,<p>AⅠ.Ⅱ.Ⅲ</p><p>BⅠ.Ⅱ.Ⅳ</p><p>CⅡ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅲ.Ⅳ</p>,4,A,申请人通过系统向证券公司、证券投资咨询机构提交执业注册申请时，应同时提交下列书面材料：执 业注册申请表；身份证复印件；学历证书复印件；具有2年以上证券业务或证券’服务业务经历的工作 证明；未受过刑事处罚的证明；证券业协会规定的其他材料。,0,0
1,(单选题)商品期货的主要品种可以分为（）。 Ⅰ.农产品期货 Ⅱ.金属期货 Ⅲ.能源期货 Ⅳ.货币期货,<p>AⅠ.Ⅱ.Ⅲ</p><p>BⅠ.Ⅱ.Ⅳ</p><p>CⅡ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅲ.Ⅳ</p>,4,A,商品期货的主要品种可以分为农产品期货、金属期货和能源期货。金融期货的主要品种可以分为货币 期货、利率期货和指数期货。,0,0
1,(单选题)下列属于证券经纪业务特点的有（）。 Ⅰ.证券经纪商的中介性 Ⅱ.业务对象的针对性 Ⅲ.客户指令的权威性 Ⅳ.客户资料的保密性 ,<p>AⅠ.Ⅱ.Ⅲ</p><p>BⅠ.Ⅱ.Ⅳ</p><p>CⅡ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅲ.Ⅳ</p>,4,D,证券经纪业务的特点包括：(1)业务对象的广泛性。(2)证券经纪商的中介性。(3)客户指令的权威性。(4)客户资料的保密性。,0,0
