1,(单选题)()事项非经载明于章程，不生效力。,<p>A相对记载</p><p>B任意记载</p><p>C绝对记载</p><p>D协商记载</p>,4,A,相对记载事项非经载明于章程，不生效力。,0,0
1,(单选题)证券公司必须将证券自营业务与证券经纪业务、资产管理业务、承销保荐业务及其他业务分开操作，建立防火墙制度，确保自营业务与其他业务在()方面严格分离。Ⅰ.人员Ⅱ.账户Ⅲ.信息Ⅳ.资金,<p>AⅠ.Ⅱ.Ⅳ</p><p>BⅡ.Ⅲ.Ⅳ</p><p>CⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅲ.</p>,4,C,证券公司必须将证券自营业务与证券经纪、承销保荐业务及其他业务分开操作，建立防火墙制度，确保自营业务与其他业务在人员、信息、账户、资金、会计核算方面严格分离。,0,0
1,"(单选题)关于证券经纪关系，下列说法正确的有()。Ⅰ.在证券经纪关系中,证券经纪商是受托人Ⅱ.在证券经纪关系中，证券经纪商是委托人Ⅲ.在证券经纪关系中，客户是委托人Ⅳ.在证券经纪关系中，客户是受托人",<p>AⅠ.Ⅱ.Ⅳ</p><p>BⅠ.Ⅲ</p><p>CⅡ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅲ.Ⅳ</p>,4,B,证券经纪业务主要是证券经纪商按照客户的委托，代理其在证券交易所买卖证券的有关业务。因此客户是委托人，证券经纪商是受托人。,0,0
1,(单选题)诚信信息查询记录包括()。Ⅰ.查询者Ⅱ.查询对象Ⅲ.查询原因Ⅳ.查询时间,<p>AⅠ.Ⅲ</p><p>BⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>CⅡ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅲ.Ⅳ</p>,4,B,诚信信息查询记录应当包括诚信信息的查询者、查询对象、查询原因、查询内客、查询时间等情况。,0,0
1,(单选题)证券经纪人在执业过程中，不得有的行为包括（）。Ⅰ.在执业过程中索取或收受客户款项和财物Ⅱ.代客户在相关合同、协议、文件等资料上签字Ⅲ.向客户充分提示证券投资的风险Ⅳ.向客户提供非由所服务证券公司统一提供的研究报告证券经纪人应在规定和所服务证券公司授权的范围内执业，除不得有禁止的行为外，也不得有以下行为：(1)以所服务证券公司或证券营业部的名义，与客户或他人签订任何合同、协议。(2）代客户在相关合台同、协议、文件等资料上签字。（3）在执业过程中索取或收受客户款项和财务。（4）向客户提供非由所服务证券公司统一提供的研究报告及与证券投资有关的信息、证券类金融产品宣传推介材料及有关信息。(5）违背职业道德的其他行为。,<p>AⅠ.Ⅱ.Ⅲ</p><p>BⅠ.Ⅱ.Ⅳ</p><p>CⅡ.Ⅲ.Ⅳ</p><p>DⅢ.Ⅳ</p>,4,B,证券经纪人应在规定和所服务证券公司授权的范围内执业，除不得有禁止的行为外，也不得有以下行为：(1)以所服务证券公司或证券营业部的名义，与客户或他人签订任何合同、协议。(2）代客户在相关合台同、协议、文件等资料上签字。（3）在执业过程中索取或收受客户款项和财务。（4）向客户提供非由所服务证券公司统一提供的研究报告及与证券投资有关的信息、证券类金融产品宣传推介材料及有关信息。(5）违背职业道德的其他行为。,0,0
1,(单选题)下列选项中，属于欺诈发行股票、债券罪立案追诉标准的有()。Ⅰ.伪造、变造国家公文、有效证明文件或相关凭证、单据的Ⅱ.转移或者隐瞒所募集资金的Ⅲ.利用募集的资金进行违法活动的Ⅳ.发行数额在100万元以上的欺诈发行股票、债券罪的立案追诉标准包括:(1)发行数额在500万元以上的(2)伪造、变造国家公文、有效证明文件或相关凭证、单据的。（3）利用募集的资金进行违法活动的。(4)转移或者隐瞒所募集资金的。(5）其他后果严重或有其他严重情节的情形。,<p>AⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>BⅠ.Ⅱ.Ⅲ</p><p>CⅠ.Ⅲ</p><p>DⅡ.Ⅳ</p>,4,B,欺诈发行股票、债券罪的立案追诉标准包括:(1)发行数额在500万元以上的(2)伪造、变造国家公文、有效证明文件或相关凭证、单据的。（3）利用募集的资金进行违法活动的。(4)转移或者隐瞒所募集资金的。(5）其他后果严重或有其他严重情节的情形。,0,0
1,(单选题)经国务院证券监督管理机构批准，证券公司可以经营曹()。Ⅰ.证券经纪业务Ⅱ.证券投资咨询业务Ⅲ.证券承销与保荐业务Ⅳ.证券资产管理业务,<p>AⅡ.Ⅳ</p><p>BⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>CⅠ.Ⅳ</p><p>DⅢ.Ⅳ</p>,4,B,经国务院证券监督管理机构批准，证券公司可以经营下列部分或者全部业务:证券经纪；证券投资咨询；与证券交易、证券投资活动有关的财务顾问；证券承销与保荐；证券自营；证券资产管理；其他证券业务。,0,0
1,(单选题)以下关于证券登记结算公司的说法，正确的是（）。Ⅰ.证券登记结算公司的名称中应当标明“证券登记结算”字样Ⅱ.不以营利为目的的企业法人Ⅲ.证券登记计算采取全国集中统一的运营方式Ⅳ.自有资金不少于人民币一亿元,<p>AⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>BⅠ.Ⅱ.Ⅲ</p><p>CⅠ.Ⅱ.Ⅳ</p><p>DⅠ.Ⅱ</p>,4,B,自有资金不少于人民币2亿元,0,0
1,(单选题)证券承销的方式有()。Ⅰ.代销Ⅱ.包销Ⅲ.助销Ⅳ.直销,<p>AⅠ.Ⅱ</p><p>BⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>CⅢ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅲ</p>,4,A,证券承销的方式主要有代销和包销,0,0
1,(单选题)财务顾问及其有关人员应当配合中国证监会及其派出机构的检查工作，提交的材料应当（），不得以任何理由拒绝、拖延提供有关材料。Ⅰ.真实Ⅱ.准确Ⅲ.完整Ⅳ.及时,<p>AⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>BⅢ.Ⅳ</p><p>CⅠ.Ⅱ.Ⅲ</p><p>DⅠ.Ⅱ.Ⅳ</p>,4,C,财务顾问及其有关人员应当配合中国证监会及其派出机构的检查工作，提交的材料应当真实、准确、完整，不得以任何理由拒绝、拖延提供有关材料，或者提供不真实、不准确、不完整的材料。,0,0
1,(单选题)证券经纪人在执业过程中，不得有（)行为。Ⅰ.在执业过程中索取或收受客户的款项和财物Ⅱ.代客户在相关合同、协议、文件等资料上签字Ⅲ.向客户充分提示证券投资的风险Ⅳ.向客户提供非由所服务证券公司统一提供的研究报,<p>AⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>BⅠ.Ⅱ.Ⅳ</p><p>CⅠ.Ⅱ</p><p>DⅢ.Ⅳ</p>,4,B,证券经纪人应在规定和所服务证券公司授权的范围内执业，除不得有禁止的行为外，也不得有以下行为：(1)以所服务证券公司或证券营业部的名义，与客户或他人签订任何合同、协议。(2）代客户在相关合台同、协议、文件等资料上签字。（3）在执业过程中索取或收受客户款项和财务。（4）向客户提供非由所服务证券公司统一提供的研究报告及与证券投资有关的信息、证券类金融产品宣传推介材料及有关信息。(5）违背职业道德抽的其他行为。,0,0
1,(单选题)设立有限责任公司或者股份有限公司时，申请名称预先核准应当提交的文件包括()。Ⅰ.有限责任公司的全体股东或股份有限责任公司的全体发起人签署的公司名称预先核准申请书Ⅱ.全体股东或者发起人指定代表或者共同委托代理人的证明Ⅲ.部分股东或者发起人指定代表的证明Ⅳ.国家工商行政管理总局规定要求提交的其他文件,<p>AⅠ.Ⅱ.Ⅲ</p><p>BⅠ.Ⅱ.Ⅳ</p><p>CⅠ.Ⅲ.Ⅳ</p><p>DⅡ.Ⅲ.Ⅳ</p>,4,B,设立有限责任公司或者股份有限公司时，申请名称预先核准应当提交下列文件:(1)有限责任公司的全体股东或股份有限责任公司的全体发起人签署的公司名称预先核准申请书。（2）全体股东或者发起人指定代表或者共同委托代理人的证明。（3）国家工商行政管理总局规定要求提交的其他文件。,0,0
1,(单选题)开立证券账户时，经办人查验申请人所提供资料的（）。Ⅰ.有效性Ⅱ.合法性Ⅲ.及时性Ⅳ.完整性,<p>AⅠ.Ⅱ.Ⅲ</p><p>BⅡ.Ⅲ.Ⅳ</p><p>CⅠ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅲ.Ⅳ</p>,4,C,开立证券账户时，经办人查验申请人所提供资料的真实性、有效性、完整性及一致性，在申请表单上签章后，将所有资料交复核员实时复核。,0,0
1,(单选题)《中华人民共和国证券法》规定，投资咨询机构及其从业人员从事证券服务业务不得有的行为包括（）。Ⅰ.代理委托人从事证券投资Ⅱ.与委托人约定分享证券投资收益或者分担证券投资损失Ⅲ.买卖本咨询机构提供服务的上市公司股票Ⅳ.向投资人或者客户提供投资分析、预测或建议,<p>AⅡ.Ⅳ</p><p>BⅠ.Ⅲ</p><p>CⅠ.Ⅱ.Ⅲ</p><p>DⅠ.Ⅲ.Ⅳ</p>,4,C,投资咨询机构及其从业人员不得有下列行为:(1)代理委托人从事证券投资。(2)与委托人约定分享证券投资收益或者分担证券投资损失。(3）买卖本咨询机构提供服务的上市公司股票。（4）利用传播媒介或者通过其他方式提供、传播虚假或者误导投资者信息。（5）法律、行政法规禁止的其他行为。,0,0
1,(单选题)根据相关规定，主承销人应当具备的主要条件有().Ⅰ.具有法定最低限额以上的实收贸币资本Ⅱ.主要负责人中2/3的人员有5年以上的证券管理工作经历Ⅲ.有足够数量的证券专业操作人员，其中70%以上的人员在证券专业岗位工作2年以上Ⅳ.没有违反国家有关证券市场管理法规和政策,<p>AⅠ.Ⅱ.Ⅲ</p><p>BⅠ.Ⅲ.Ⅳ</p><p>CⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>DⅡ.Ⅳ</p>,4,B,根据相关规定，主承销人应当具备的主要条件如下：具有法定最低限额以上的实收货币资本；主要负责人中2/3的人员有3年以上的证券管理工作经历或者有5年以上的金融管理工作经验；有足够数量的证券专业操作人员，其中70%以上的人员在证券专业岗位工作2年以上；全部从业人员在以往3年内的承销过程中，没有因内幕交易、侵害客户利益、工作严重失误受到起诉或行政处分；没有违反国家有关证券市场管理法规和政策，没有受到过证监会给予的通报批评；承销机构及其主要负责人在前3年承销过程中无其他严重劣迹，特别是与欺诈、提供虚假信息有关的行为。,0,0
1,(单选题)公司债券上市交易后，由证券交易所决定暂停其公司债券上市交易的情形有()。Ⅰ.公司有重大违法行为Ⅱ.未按照公司债券募集办法履行义务Ⅲ.发行公司债券所募集的资金不按照核准的用途使用Ⅳ.公司最近3年连续亏损，在其后1个年度内未能恢复盈利,<p>AⅠ.Ⅱ.Ⅲ</p><p>BⅡ.Ⅲ</p><p>CⅢ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅳ</p>,4,A,公司债券上市交易后，公司有下列情形之一的，由证券交易所决定暂停其公司债券上市交易；(1)公司有重大违法行为。(2)公司情况发生重大变化不符合公司债券上市条件。(3）公司债券所募集的资金不按照核准的用途使用。(4)未按照公司债券募集办法履行义务。(5)公司最近2年连续亏损。,0,0
1,(单选题)财务顾问可通过()等方式，结合上市公司定期报告的披露，做好持续督导工作。Ⅰ.日常沟通Ⅱ.定期回访Ⅲ.事前调查Ⅳ.事后追究,<p>AⅠ.Ⅱ</p><p>BⅡ.Ⅲ</p><p>CⅠ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅲ.Ⅳ</p>,4,A,财务顾问应当通过日常沟通、定期回访等方式，结合上市公司定期报告的披露，做好持续督导工作。,0,0
1,(单选题)发行人和承销商在发行过程中披露的信息，应当（）。不得有虚假记载、误导性陈述或者重大遗漏。Ⅰ.简单Ⅱ.复杂Ⅲ.真实Ⅳ.准确,<p>AⅠ.Ⅱ</p><p>BⅡ.Ⅲ</p><p>CⅢ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅲ.Ⅳ</p>,4,C,发行人和承销商在发行过程中披露的信息。应当真实、准确、完整、及时，不得有虚假记载、误导性陈述或者重大遗漏。,0,0
1,(单选题)下列关于证券公司投资决策机制一般规定的说法中。正确的是（)。Ⅰ.各证券公司不得以他人名义开立自营账户Ⅱ.各证券公司应按要求将全部自营账户明细(含不规范账户)报送公司注册地证监局。由证监局转报上海、深圳证券交交易所以及中国证券登记结算有限公司备案Ⅲ.各证券公司不得将自营业务与资产管理业务、经纪业务混合操作Ⅳ.各证券公司对不规范账户要制定有明确时限和具体责任人、按年细化落买的清理计划,<p>AⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>BⅢ.Ⅳ</p><p>CⅠ.Ⅱ</p><p>DⅠ.Ⅱ.Ⅲ</p>,4,D,Ⅳ项说法错误，各证券公司对不规范账号要制定有明确时限和具体责任人，按月份细化落实的清理计划。清理期间，不规范账户只能卖出证券。不能买进，并要逐步注销。,0,0
1,(单选题)股份有限公司发起设立的程序通常包括(）。Ⅰ.订立公司章程Ⅱ.发起人认购股份和缴纳股款Ⅲ.选任董事和监事Ⅳ.申请登记注册,<p>AⅠ.Ⅱ</p><p>BⅡ.Ⅲ</p><p>CⅠ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅲ.Ⅳ</p>,4,D,股份有限公司发起设立的程序通常包括订立公司章程、发起人认购股份和缴纳股款、选任董事和监事、申请登记注册。,0,0
1,(单选题)开展融资融券业务试点的证券公司从事融资融券业务应遵守的原则包括()。Ⅰ.集中管理原则Ⅱ.合法合规原则Ⅲ.独立运行原则Ⅳ.统一运行原则,<p>AⅠ.Ⅱ.Ⅲ</p><p>BⅡ.Ⅲ.Ⅳ</p><p>CⅠ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅲ.Ⅳ</p>,4,A,开展融资融券业务试点的证券公司从事融资融券业务应遵守的原则包括合法合规原则、集中管理原则、独立运行原则、岗位分离原则。,0,0
1,(单选题)证券公司参与区域性市场，应守法合规，遵守区域性市场相关管理规定和业务制度，遵循()原则。并做好风险控制工作。Ⅰ.公开Ⅱ.平等Ⅲ.自愿Ⅳ.诚实信用,<p>AⅠ.Ⅱ.Ⅲ</p><p>BⅡ.Ⅲ.Ⅳ</p><p>CⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅳ</p>,4,B,证券公司参与区域性市场，应守法合规，遵守区域性市场相关管理规定和业务制度，遵循平等、自豪、诚实信用原则，并做好风险控制工作。,0,0
1,(单选题)有限责任公司的董事会行使角的职权包括()。Ⅰ.执行股东会的决议Ⅱ.制订公司的年度财务预算方案、决算方案Ⅲ.决定公司的经营计划和投资方案Ⅳ.修改公司章程,<p>AⅠ.Ⅲ</p><p>BⅠ.Ⅱ.Ⅲ</p><p>CⅡ.Ⅳ</p><p>DⅠ.Ⅳ</p>,4,B,有限责任公司的董事会行使下列职权:(1）召集股东会，并向股东会报告工作。(2)执行股东会的决议.(3)决定公司的经营计划和投资方案。(4)制订公司的年度预算方案，决算方案。(5制订公司的利润分配方案和弥补亏损方案。(6)制订公司增加或者减少注册资本以及发行公司债券的方案。（7)制订公司合并、分立、变更公司形式、解散的方案。(8)决定公司内部管理机构的设置。(9)决定聘任或者解聘公司经理及其报酬事项，并根据经理的提名，决定聘任或者解聘公司副经理、财务负责人及其报酬事项。(10)制定公司的基本管理制度。(11)公司章程规定的其他职权。,0,0
1,(单选题)收购要约的期限可以是（)日。Ⅰ.20Ⅱ.35Ⅲ.50Ⅳ.65,<p>AⅠ.Ⅱ</p><p>BⅢ.Ⅳ</p><p>CⅡ.Ⅲ</p><p>DⅠ.Ⅱ.Ⅲ.Ⅳ</p>,4,C,收购要约的期限不得少于30日，并不得超过60日。,0,0
1,(单选题)金融期货的主要品种可以分为（)。Ⅰ.股指期货Ⅱ.金属期货Ⅲ.利率期货Ⅳ.外汇期货,<p>AⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>BⅠ.Ⅲ.Ⅳ</p><p>CⅢ.Ⅳ</p><p>DⅠ.Ⅱ</p>,4,B,商品期货的主要品种可以分为农产品期货、金属期货和能源期货。其中金融期货和主要品种可以分为外汇期货、利率期货和股指期货。,0,0
1,(单选题)封闭式基金通常有固定的封闭期，一般为(）年。Ⅰ.5Ⅱ.10Ⅲ.15Ⅳ.20,<p>AⅠ.Ⅱ</p><p>BⅡ.Ⅲ</p><p>CⅠ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅲ.Ⅳ</p>,4,B,封闭式基金通常有固定的封闭期，一般为10年或15年，经受益人大会通过并经主管机关同意可以适当延长期限。,0,0
1,(单选题)证券业从业人员的一般性禁止行为包括（)。Ⅰ.编造、传播虚假信息或者误导投资者的信息Ⅱ.在经纪业务中接受客户的全权委托Ⅲ.从事与其履行职责有利益冲突的业务Ⅳ.违规向客户作出投资不受损失或保证最低收益的承诺,<p>AⅠ.Ⅲ</p><p>BⅡ.Ⅳ</p><p>CⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅲ.Ⅳ</p>,4,D,ⅠⅡⅢ三项属于证券业从业人员的一般性禁止行为;B项属于证券公司从业人员的特定禁止行为。,0,0
1,(单选题)证券公司向客户推介金融产品，应当了解客户()Ⅰ.财产和收入状况Ⅱ.投资经验Ⅲ.金融知识Ⅳ.投资目标,<p>AⅠ.Ⅱ.Ⅲ</p><p>BⅡ.Ⅲ.Ⅳ</p><p>CⅠ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅲ.Ⅳ</p>,4,D,证券公司向客户推介金融产品，应当了解客户的身份、财产和收入状况、金融知识和投资经验、投资目标、风险偏好等基本情况，评估其购买金融产品的适当性。,0,0
1,(单选题)《证券法》里规定的证券发行和交易所遵守的三个原则有哪三个()Ⅰ.公平原则Ⅱ.公开原则Ⅲ.公正原则Ⅳ.平衡原则,<p>AⅠ.Ⅱ.Ⅲ</p><p>BⅠ.Ⅱ.Ⅳ</p><p>CⅡ.Ⅲ.Ⅳ</p><p>DⅡ.Ⅳ</p>,4,A,证券发行和交易的“三公”原则,0,0
1,(单选题)证券公司在向客户融资、融券前，应当办理客户征信，了解(）。Ⅰ.基本资料Ⅱ.投资经验以及诚信记录Ⅲ.还款能力Ⅳ.融资融券需求,<p>AⅠ.Ⅳ</p><p>BⅡ.Ⅲ.Ⅳ</p><p>CⅠ.Ⅱ.Ⅲ</p><p>DⅠ.Ⅱ.Ⅲ.Ⅳ</p>,4,D,证券公司在向客户融资、融券前，应当办理客户征信，了解客户的基本资料、投资经验、诚信记录、还款能力和融资融券需求。,0,0
1,(单选题)在以证券公司名义开立的()内，应当为每一客户单独开立信用账户。Ⅰ.融券专用证券账户Ⅱ.信用交易证券交收账户Ⅲ.客户信用交易担保证券账户Ⅳ.客户信用交易担保资金账户,<p>AⅠ.Ⅱ</p><p>BⅢ.Ⅳ</p><p>CⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅲ.Ⅳ</p>,4,B,在以证券公司名义开立的客户信用交易担保证券账户和客户信用交易担保资金账户内，应当为每一客户单独开立信用帐户。,0,0
1,(单选题)中国证监会建立监管信息系统，对财务顾问及其财务顾问主办人进行持续动态监管，并将以下(）事项记入诚信档案。Ⅰ.财务顾问及其财务顾问主办人被中国证监会采取监管措施的Ⅱ.在持续督导期间，上市公司或者其他委托人违反公司治理有关规定、相关资产状况的Ⅲ.财务顾问及其财务顾问主办人被证券公司采取监管措施的Ⅳ.持续督导期间，上市公司经营成果与财务顾问的专业意见出现较大差异的,<p>AⅠ.Ⅱ.Ⅲ</p><p>BⅠ.Ⅱ.Ⅳ</p><p>CⅢ.Ⅳ</p><p>DⅠ.Ⅲ.Ⅳ</p>,4,B,中国证监会建立监管信息系统，对财务顾问及其财务顾问主办人进行持续动态监管，并将以下事项记入诚信档案：（1）财务顾问及其财务顾问主办人被中国证监会采取监管措施的。（2）在持续督导期间，上市公司或者其他委托人违反公司治理有关规定、相关资产状况及上市公司经营成果等与财务顾问的专业意见出现较大差异的。（3)中国证监会认定的其他事项。,0,0
1,(单选题)内幕交易的知情人员()。Ⅰ.发行人的董事、监事、高级管理人员Ⅱ.公司的实际控制人Ⅲ.持有公司百分之五以上股份的股东及其董事、监事、高级管理人员，公司的实际控制人及董事、监事、高级管理人员Ⅳ.财物审批人员,<p>AⅠ.Ⅲ.Ⅳ</p><p>BⅡ.Ⅲ.Ⅳ</p><p>CⅠ.Ⅱ.Ⅲ</p><p>DⅡ.Ⅲ</p>,4,C,我国《证券法》第74条规定证券交易内幕信息的知情人包括：（一）发行人的董事、监事、高级管理人员（二）持有公司百分之五以上股份的股东及其董事、监事、高级管理人员，公司的实际控制人及董事、监事、高级管理人员（三）发行人控股的公司及董事、监事、高级管理人员（四）由于所任公司职务可以获取公司有关内幕信息的人员（五）证券监督管理机构工作人员以及由于法定职责对证券的发行、交易进行管理的其他人员（六）保荐人、承销的证券公司、证券交易所、证券登记结算机构、证券服务机构的有关人员（七）国务院证券监督管理机构规定的其他人。,0,0
1,(单选题)申请证券、期货投资咨询从业资格的机构应当提交的文件包括（)。Ⅰ.中国证监会统一印制的申请表Ⅱ.企业法人营业执照Ⅲ.公司章程Ⅳ.开展投资咨询业务的方式和内部管理规章制度,<p>AⅠ.Ⅱ.Ⅳ</p><p>BⅡ.Ⅲ.Ⅳ</p><p>CⅠ.Ⅲ</p><p>DⅠ.Ⅱ.Ⅲ.Ⅳ</p>,4,D,除了题中四项外，申请证券、期货投资咨询从业资格的机构，应当提交的文件还包括：机构高级管理人员和从事证券、期货投资咨询业务人员名单及其学历、工作经历和从业资格证书；业务场所使用证明文件、机构通信地址、电话和传真机号码;由注册会计师提供的验资报告；中国证监会要求提供的其他文件.,0,0
1,(单选题)《中华人民共和国证券法》规定，投资咨询机构及其从业人员从事证券服务业务不得有()行为。Ⅰ.代理委托人从事证券投资Ⅱ.与委托人约定分享证券投资收益或者分担证券投资损失Ⅲ.买卖本咨询机构提供服务的上市公司股票Ⅳ.向投资人或者客户提供投资分析、预测或建议,<p>AⅠ.Ⅱ.Ⅲ</p><p>BⅡ.Ⅲ</p><p>CⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅳ</p>,4,A,投资咨询机构及其从业人员从事证券服务业务不得有下列行为：(I）代理委托人从事证券投资。（2）与委托人约定分享证券投资收益或者分担证券投资损失。(3）买卖本咨询机构提供服务的上市公司股票。(4）利用传播媒介或者通过其他方式提供、传播虚假或者误导投资者的信息。(5)法律、行政法规禁止的其他行为。,0,0
1,(单选题)诚信信息中的基本信息通过()采集。Ⅰ.协会会员信息管理系统Ⅱ.协会人员信息管理系统Ⅲ.从业人员信息管理系统Ⅳ.诚信信息系统,<p>AⅠ.Ⅱ</p><p>BⅠ.Ⅲ</p><p>CⅡ.Ⅲ.Ⅳ</p><p>DⅡ.Ⅳ</p>,4,B,诚信信息中的基本信息通过协会会员信息管理系统和从业人员信息管理系统采集。,0,0
1,(单选题)证券、期货投资咨询机构及其投资咨询人员，不得从事下列活动(）。Ⅰ.代理投资人从事证券、期货买卖Ⅱ.向投资人承诺证券、期货投资收益Ⅲ.与投资人约定分享投资收益或者分担投资损失Ⅳ.为客户讲解投资风险,<p>AⅠ.Ⅱ</p><p>BⅠ.Ⅱ.Ⅲ</p><p>CⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>DⅡ.Ⅲ.Ⅳ</p>,4,B,证券、期货投资咨询机构及其投资咨询人员，不得从事下列活动：(I)代理投资人从事证券、期货买卖。（2）向投资人承诺证券、期货投资收益(3)与投资人约定分享投资收益或者分担投资损失。(4)为自己买卖股票及具有股票性质、功能的证券以及期货。（5)利用咨询服务与他人合谋操纵市场或者进行内幕交易。(6）法律、法规、规章所禁止的其他证券、期货欺诈行为。,0,0
1,(单选题)下列属于财务顾问应当配合中国证监会工作的是()。Ⅰ.指定财务顾问主办人与中国证监会进行专业沟通，并按照中国证监会提出的反馈意见作出回复Ⅱ.按照中国证监会的要求对涉及本次并购重组活动的特定事项进行尽职调查或者核查Ⅲ.组织委托人及其他专业机构对中国证监会的意见进行答复Ⅳ.对委托人披露的文件进行核查，确信披露文件的内客与格式符合要求,<p>AⅠ.Ⅱ.Ⅲ</p><p>BⅡ.Ⅲ</p><p>CⅢ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅳ</p>,4,A,除了ⅠⅡⅢ三项外，财务顾问应当配合中国证监会的工作还包括:(1)委托人未能在行政许可的期限内公告相关并购重组报告全文的，财务顾问应当督促委托人及时公开披露中国证监会提出的问题及委托人未能如期公告的原因。(2)自申报至并购重组事项完成前，对于上市公司和其他并购重组当事人发生较大变化对本次并购构成较大影响的情况予以高度关注，并及时向中国证监会报告。(3)申报本次担任并购重组财务顾问的收费情况。(4)中国证监会要求的其他事项。,0,0
1,(单选题)客户向期货公司下达交易指令的方式有（)。Ⅰ.电话Ⅱ.书面Ⅲ.互联网Ⅳ.QQ,<p>AⅠ.Ⅱ.Ⅲ</p><p>BⅡ.Ⅲ.Ⅳ</p><p>CⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅳ</p>,4,A,客户可以通过书面、电话、互联网或者国务院期货监督管理机构规定的其他方式，向期货公司下达交易指令。,0,0
1,(单选题)单位有下列（）行为的，对直接负责的主管人员和其他直接责任人员给予纪律处分，并处1万元以上10万元以下的罚款。Ⅰ.以自己为交易对象，自买自卖，影响期货交易价格或者期货交易量的Ⅱ.为影响期货市场行情囤积实物的Ⅲ.有中国证监会规定的其他操纵期货交易价格行为的Ⅳ.蓄意串通，按事先约定的时间、价格和方式相互进行期货交易，影响期货交易价格或者期货交易量的,<p>AⅠ.Ⅲ.Ⅳ</p><p>BⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>CⅡ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅱ</p>,4,B,单位有下列行为之-的，对直接负责的主管人员和其他直接责任人员给予纪律处分，并处1万元以上10万元以下的罚款：(1)单独或者合谋，集中资金优势、持仓优势或者利用信息优势联合或者连续买卖期货合约，操纵期货交易价格的。(2）蓄意串通，按事先约定的时间、价格和方式相互进行期货交易，影响期货交易价格或者期货交易量的。(3)以自己为交易对象，自买自卖，影响期货交易价格或者期货交易量的。(4)为影响期货市场行情囤积实物的(5）有中国证监会规定的其他操纵期货交易价格行为的。,0,0
1,(单选题)申请从事证券投资咨询业务应当具备的条件有().Ⅰ.具有完全民事行为能力Ⅱ.具有中华人民共和国国籍Ⅲ.具有大学专科以上学历（教育部认可的)Ⅳ.未受过刑事处罚,<p>AⅠ.Ⅱ.Ⅲ</p><p>BⅠ.Ⅱ.Ⅳ</p><p>CⅢ.Ⅳ</p><p>DⅠ.Ⅲ.Ⅳ</p>,4,B,申请从事证券投资咨询业务应当具备下列条件:(1)取得证券从业资格。(2）被证券公司、投资咨询机构或资信评级机构聘用。(3）具有中华人民共和国国籍。(4）具有完全民事行为能力。(5）具有大学本科以上学历（教育部认可的）。（6）具有从事证券业务两年以上的经历。（7）未受过刑事处罚。（8)未被中国证监会认定为证券市场禁入者，或者已过禁入期的。(9）品行端正，具有良好的职业道德。（10）法律、行政法规和中国证监会规定的其他条件。,0,0
1,(单选题)证券公司办理定向资产管理业务对不同客户的资产应当()。Ⅰ.独立核算Ⅱ.分帐管理Ⅲ.分别设置账户Ⅳ.选择不同投资管理人员,<p>AⅠ.Ⅱ.Ⅲ</p><p>BⅠ.Ⅱ</p><p>CⅢ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅲ.Ⅳ</p>,4,A,证券公司办理定向资产管理业务对不同客户的资产分别设置账户、独立核算、分账管理。,0,0
