1,(单选题)世界上第一只ETF在（）推出的。,<p>A美国</p><p>B加拿大</p><p>C英国</p><p>D澳大利亚</p>,4,B,无,0,0
1,(单选题)基金合同是规范基金当事人权利义务关系的基本法律文件，这些当事人不包括（）。,<p>A基金托管人</p><p>B基金管理人</p><p>C基金份额持有人</p><p>D基金代销机构</p>,4,D,暂无，请查看考友笔记,0,0
1,"(单选题)对冲基金,基于投资理论和极其复杂的金融市场操作技巧，充分利用各种金融衍生产品的杠杆效用,（）的投资模式",<p>A承担低风险、追求低收益</p><p>B承担低风险、追求高收益</p><p>C承担高风险、追求低收益</p><p>D承担高风险、追求高收益</p>,4,D,对冲基金基于投资理论和极其复杂的金融市场操作技巧，（本题本题出自金考必过，网址：www.jinkaobiguo.com，最好的刷题网站。）充分利用各种金融衍生产品的杠杆效用，承担高风险，追求高收益的投资模式。,0,0
1,(单选题)基金代销机构的代销资格应当是由（）来负责审核和批准.,<p>A不用任何机构审批</p><p>B人民银行</p><p>C银监会</p><p>D证监会</p>,4,D,基金代销机构的代销资格应当是由证监会来负责审核扣批准。,0,0
1,(单选题)基金管理人合规管理的相关规则不包括（）。,<p>A立法机关发布的基本法律规则</p><p>B证监会发布的基本法律规则</p><p>C基金业协会和证券业协会等自律性组织制定的适用于全行业的规范、标准、惯例等</p><p>D银行业协会等自律性组织制定的适用于全行业的规范、标准、惯例等</p>,4,D,暂无，请查看考友笔记,0,0
1,(单选题)依照《证券投资基金法》的规定，不属于基金托管人的职责的是（）。,<p>A办理与基金托管相关的信息披露事项</p><p>B计算并公告基金资产份额净值</p><p>C按规定召集基金份额持有人大会</p><p>D按照规定开设基金财产的资全账户和证券账户</p>,4,B,计算并公告基金资产份额净值为基金管理人的职责。,0,0
1,(单选题)货币市场基金的赎回资金划付较快一些.一般（）日即可从基金的银行存款账户划出，最快可在划出当日到达投资者资金账户。,<p>AT</p><p>BT+1</p><p>CT+2</p><p>DT+3</p>,4,B,货币市场基金的赎回资金划付较快一些。一股T十1日即可从基金的银行存款划出，最快可在划出当日到达投资者资金账户。,0,0
1,(单选题)基金资产（）以上投资于债券的为债券型基金.,<p>A0.6</p><p>B0.7</p><p>C0.8</p><p>D0.9</p>,4,C,基金资产80%以上投资与债券的为债券型基金。,0,0
1,(单选题)我国开放式基金首次募集的募集期限为自该基金份额发售之日起（）内。,<p>A3个月</p><p>B6个月</p><p>C9个月</p><p>D1个月</p>,4,A,我国开放式基金首次募集的募集期限为自该基金份额发售之日起3个月。（本题本题出自金考必过，网址：www.jinkaobiguo.com，最好的刷题网站。）,0,0
1,(单选题)基金管理人应当自收到投资者的申购(认购)、赎回申请之日起（）个工作日内，对该申购(认购)、赎回申请的有效性进行确认。,<p>A2</p><p>B3</p><p>C5</p><p>D7</p>,4,B,由于基金申购和赎回的资金清算依据注册登记机构的确认数据进行，为保护基金投资人的利益，有关法规明确规定，基金管理人应当自收到投资者的申购(认购〕.赎回申请之日起3个工作日内，对该申购(认购)、赎回申请的有效性进行确认.,0,0
1,(单选题)封闭式证券投资基金与开放式证券投资基金的主要区别之一是（）。,<p>A是否被监管部门严格监管</p><p>B基金规模是否固定</p><p>C是否有股权性</p><p>D基金成立是否规定了最低规模</p>,4,B,暂无，请查看考友笔记,0,0
1,(单选题)当基金管理人认为兑付投资者的赎回申请有因难，或认为兑付投资者的赎回申请进行的资产变现可能使基金份额净值发生较大波动时，基金管理人在当日接受赎回比例不低于上一日基金总份额（）的前提下.对其余赎回申请延期办理。,<p>A0.11</p><p>B0.1</p><p>C0.09</p><p>D0.08</p>,4,B,当基金管理人认为兑付投资者的赎回申请有困难，或认为兑付投资者的赎回申请进行的资产变现可能使基金份额净值发生波动较大时，基金管理人在当日接受赎回比例不低于上一日基金总份额10％的前提下，对其余赎回申请延期办理.,0,0
1,(单选题)在半年度和年度报告的重大事件揭示中，应披露报告期内偏离度绝对值达到或超过（）的信息.,<p>A0.005</p><p>B0.008</p><p>C0.003</p><p>D0.001</p>,4,A,在半年度和年度报告的重大事件揭示中，应披露报告期内偏离度绝对值达到或超过0.5%的信息.,0,0
1,(单选题)在我国基金信息披露法规体系中属于部门规章的是（）。,<p>A《证券投资基金法》</p><p>B《深圳证券交易所证券没资基金上市规则》</p><p>C《证券投资基金信息披露管理办法》</p><p>D《上市开放式基金业务指引》</p>,4,C,其他几项是国家法律、规范性文件和自律性规则（本题本题出自金考必过，网址：www.jinkaobiguo.com，最好的刷题网站。）,0,0
1,(单选题)如果封闭式基金募集期限届满后不能成立，基金管理人要在（）日内返还投资者已缴纳的款项，并加计银行同期存款利息。,<p>A7</p><p>B10</p><p>C15</p><p>D30</p>,4,D,如果封闭式基金募集期限届满后不能成立，基金管理人要在30日内返还投资者已缴纳的款项，并加计银行同期存款利息.,0,0
1,(单选题)封闭式基金份额上市交易，基金份额持有人不少于（）人。,<p>A100</p><p>B200</p><p>C500</p><p>D1000</p>,4,D,此题考察封闭式基金的上市交易条件,0,0
