1,(单选题)基金业协会的权力机构为（）。,<p>A会员大会</p><p>B董事会</p><p>C监事会</p><p>D股东大会</p>,4,A,基金业协会的权力机构为全体会员组成的会员大会。,0,0
1,(单选题)在我国，基金管理人只能由依法设立的（）担任。,<p>A商业银行</p><p>B基金管理公司</p><p>C保险公司</p><p>D信托公司</p>,4,B,在我国，基金管理人只能由依法设立的基金管理公司担任。,0,0
1,(单选题)在契约型基金的运作关系中，下列有权对基金管理人的投资行为进行监督的机构或人员是()。,<p>A律师事务所</p><p>B基金托管人</p><p>C基金代理销售机构</p><p>D会计师事务所</p>,4,B,基金托管人在基金运作中的重要作用之一就是对基金管理人的投资运作(包括投资对象、投资范围、投资比例、禁止投资行为等)进行监督，可以促使基金管理人按照有关法律法规和基金合同的要求运作基金财产，有利于保护基金份额持有人的权益。,0,0
1,(单选题)在控制活动方面，基金公司应当建立完善的（）。,<p>A资产分离制度</p><p>B岗位分离制度</p><p>C重要业务部门和岗位的物理隔离</p><p>D以上说法都正确</p>,4,D,本题考查控制活动方面的知识。,0,0
1,(单选题)在进行投资决策业务控制时，应建立（），在设定的风险权限额度内进行投资决策。,<p>A投资决策授权制度</p><p>B投资风险评估与管理制度</p><p>C业务交流制度</p><p>D实质性审查制度</p>,4,B,在进行投资决策业务控制时，应建立投资风险评估与管理制度，在设定的风险权限额度内进行投资决策。,0,0
1,(单选题)依据《证券投资基金法》的规定，基金管理人的董事、监事和高级管理人员，应当熟悉证券投资方面的法律、行政法规，具有（）年以上与其所任职务相关的工作经历。,<p>A1</p><p>B5</p><p>C3</p><p>D10</p>,4,C,依据《证券投资基金法》的规定，基金管理人的董事、监事和高级管理人员，应当熟悉证券投资方面的法律、行政法规，具有3年以上与其所任职务相关的工作经历。,0,0
1,(单选题)下列选项中不属于社会力量的是（）。,<p>A基金行业自律组织</p><p>B基金投资者</p><p>C审计机构</p><p>D社会媒体</p>,4,A,所谓社会力量，包括各种独立的专业评估机构、审计机构、以及社会媒体、基金投资者和普通公众等。,0,0
1,(单选题)下列说法错误的是（）。,<p>A基金募集失败，基金管理人不需要承担因募集行为而产生的债务和费用，由投资人自己承担</p><p>B基金管理人依法向中国证监会办理基金备案手续，基金合同生效</p><p>C基金募集期限届满，不能满足法律规定的条件，无法办理基金备案手续，基金合同不生效</p><p>D投资人交纳认购的基金份额的款项时，基金合同成立</p>,4,A,基金募集失败，基金管理人应当承担下列责任：①以其固有财产承担因募集行为而产生的债务和费用；②在募集期限届满后30日内返还投资人已交纳的款项，并加计银行同期存款利息。,0,0
1,(单选题)投资基金主要是一种（）投资工具。,<p>A间接</p><p>B综合</p><p>C分散</p><p>D直接</p>,4,A,投资基金主要是一种间接投资工具。,0,0
1,(单选题)投资基金按照运作方式可分为（）。,<p>A在岸基金和离岸基金</p><p>B公司型基金和契约式基金</p><p>C公募基金和私募基金</p><p>D开放式基金和封闭式基金</p>,4,D,投资基金按照运作方式可分为开放式基金和封闭式基金。,0,0
1,(单选题)通常情况下与股票和债券相比，证券投资基金是一种（）的投资品种。,<p>A高风险、高收益</p><p>B风险相对适中、收益相对稳健</p><p>C低风险、低收益</p><p>D基本没有风险</p>,4,B,通常情况下，与股票和债券相比，证券投资基金是一种风险相对适中、收益相对稳健的投资品种。,0,0
1,"(单选题)所谓（）,简单来讲即货币资金的融通。",<p>A理财</p><p>B融资</p><p>C金融</p><p>D投资</p>,4,C,考查金融的定义，所谓金融，简单来讲即货币资金的融通。,0,0
1,(单选题)私募基金的合格投资者投资于单只私募基金的金额不低于（）万元。,<p>A1000</p><p>B300</p><p>C500</p><p>D100</p>,4,D,私募基金的合格投资者是指具备相应风险识别能力和风险承担能力，投资于单只私募基金的金额不低于100万元。,0,0
1,(单选题)不收取销售服务费的，对持有持续期长于3个月但少于6个月的投资人收取不低于（）的赎回费，并将上述赎回费总额的50%计入基金财产。,<p>A0.001</p><p>B0.005</p><p>C0.0025</p><p>D0.0075</p>,4,B,不收取销售服务费的，对持有持续期长于3个月但少于6个月的投资人收取不低于0.5%的赎回费，并将上述赎回费总额的50%计入基金财产。,0,0
1,(单选题)不收取销售服务费的，对持有持续期少于3个月的投资人收取不低于（）的赎回费，并将上述赎回费总额的（）计入基金财产。,<p>A0.75%；75%</p><p>B0.75%；50%</p><p>C0.5%；50%</p><p>D0.5%；75%</p>,4,D,不收取销售服务费的，对持有持续期少于3个月的投资人收取不低于0.5%的赎回费，并将上述赎回费总额的75%计入基金财产。,0,0
1,(单选题)保本基金的（）是风险投资可承受的最高损失限额。,<p>A投资组合现时净值</p><p>B最低目标值</p><p>C价值底线</p><p>D安全垫</p>,4,D,安全垫是风险投资可承受的最高损失限额。,0,0
1,(单选题)般认为，世界上第一只开放式公司型基金是（）。,<p>A海外及殖民地政府信托基金</p><p>B马萨诸塞政府信托基金</p><p>C马萨诸塞投资信托基金</p><p>D美国波士顿投资信托基金</p>,4,C,投资基金真正的大发展是在美国。1924年由200多名哈佛大学教授出资5万美元在波士顿成立的“马萨诸塞投资信托基金”被公认为美国开放式公司型共同基金的鼻祖。,0,0
1,(单选题)（）是资产管理的主要方式之一，它是一种组合投资、专业管理、利益共享、风险共担的集合投资方式。,<p>A证券理财</p><p>B信托管理</p><p>C投资债券</p><p>D投资基金</p>,4,D,投资基金是资产管理的主要方式之一，它是一种组合投资、专业管理、利益共享、风险共担的集合投资方式。,0,0
1,(单选题)（）是金融市场上最重要的中介机构，是储蓄转化力投资的重要渠道。,<p>A政府</p><p>B金融机构</p><p>C中央银行</p><p>D企业</p>,4,B,金融机构是金融市场上最重要的中介机构，是储蓄转化为投资的重要渠道。,0,0
1,(单选题)（）是解决基金管理人发生道德风险和逆向选择问题的主要手段。,<p>A加强基金管理人的内部控制机制建设</p><p>B制定监管法规</p><p>C加强从业人员教育</p><p>D加强监管力度</p>,4,A,加强基金管理人的内部控制机制建设，是解决基金管理人发生道德风险和逆向选择问题的主要手段。,0,0
1,(单选题)金融市场参与者中（）的作用比较特殊。,<p>A政府</p><p>B金融机构</p><p>C中央银行</p><p>D个人和企业居民</p>,4,B,金融市场参与者中金融机构的作用比较特殊。,0,0
