1,(单选题)基金财务会计报表不包括( ),<p>A资产负债表</p><p>B利润表</p><p>C净值变动表</p><p>D股东权益变动表</p>,4,D,基金财务会计报表包括资产负债表、利润表及净值变动表等报表,0,0
1,(单选题)关于同业拆借，下列说法错误的是( ),<p>A对整个市场来说，同业拆借市场是对短期流动性最敏感的市场</p><p>B同业拆借利率作为市场的基准利率，是衡量市场流动性的重要指标</p><p>C同业拆借市场是有形的交易市场</p><p>D英国伦敦的银行间同业拆借市场是世界上规模最大的同业拆借市场之一</p>,4,C,同业拆借市场属于银行间市场，交易主体为商业银行、保险公司、证券公司、基金公司等大型金融机 构。交易过程涉及资金的拆入方(借方)和拆出方(贷方)。 ,0,0
1,(单选题)关于市盈率模型，下列说法错误的是( ),<p>A对盈余进行估值的重要指标是市盈率</p><p>B对于普通股而言，投资者应得到的回报是公司的净收益</p><p>C市盈率=每股收益(年化)/每股市价</p><p>D当前市盈率的高低，表明投资者对该股票未来价值的主要观点</p>,4,C,市盈率=每股市价/每股收益(年化)。 ,0,0
1,(单选题)目前世界上影响最大、最有权威性的一种股票价格指数是( ),<p>A道琼斯工业平均指数</p><p>B沪深300指数</p><p>C中证全债指数</p><p>D日经指数</p>,4,A,道琼斯工业平均指数是目前世界上影响最大、最有权威性的一种股票价格指数，于1896年5月26日问 世。 ,0,0
1,(单选题)目前，我国证券投资基金托管费按( )的一定比例逐日计提。,<p>A当日的基金资产净值</p><p>B前一日基金资产净值</p><p>C前一日基金资产总值</p><p>D前一日基金的份额净值</p>,4,B,目前，我国证券投资基金托管费按前一日基金资产净值的一定比例逐日计提。,0,0
1,(单选题)单利和复利的区别在于( ),<p>A单利的计息期是1年，而复利则有可能为季度、月或日</p><p>B用单利计算的货币收入没有现值和终值之分，而复利就有现值和终值之分</p><p>C单利属于名义利率，而复利则为实际利率</p><p>D单利仅在原有本金上计算利息，而复利是对本金及其产生的利息一并计算</p>,4,D,单利和复利的区别在于：单利仅在原有本金上计算利息，而复利是对本金及其产生的利息一并计算。 ,0,0
1,(单选题)私募股权投资广泛使用的战略不包括( ),<p>A成长权益</p><p>B风险投资</p><p>C危机投资</p><p>D私募股权一级市场投资</p>,4,D,私募股权投资包含多种不同形式，最为广泛使用的战略包括：风险投资、成长权益、并购投资、危机 投资和私募股权二级市场投资。 ,0,0
1,(单选题)在常见的算法交易策略中，( )是根据特定的时间间隔，在每个时间点上平均下单的算法。其旨在使市场影响最小化的同时提供一个平均执行价格。,<p>A成交量加权平均价格算法</p><p>B时间加权平均价格算法</p><p>C跟量算法</p><p>D执行偏差算法</p>,4,B,时间加权平均价格算法(TWAP)，是根据特定的时间间隔，在每个时间点上平均下单的算法。旨在使市 场影响最小化的同时提供一个平均执行价格。 ,0,0
1,(单选题)( )是在尽量不造成大的市场冲击的情况下，尽快以接近客户委托时的市场成交价格来完成交易的最优化,<p>A成交量加权平均价格算法</p><p>B时间加权平均价格算法</p><p>C跟量算法</p><p>D执行偏差算法 </p>,4,D,执行偏差算法(IS)，是在尽量不造成大的市场冲击的情况下，尽快以接近客户委托时的市场成交价格 来完成交易的最优化算法。 ,0,0
1,(单选题)可转换债券的基本要素不包括( ),<p>A标的债券</p><p>B票面利率</p><p>C转换期限</p><p>D转换价格</p>,4,A,可转换债券的基本要素包括标的股票、票面利率、转换期限、转换价格、转换比例、赎回条款、回售 条款等。 ,0,0
1,(单选题)( )是债券价格与到期收益率之间用弯曲程度的表达方式。,<p>A凹性</p><p>B久期</p><p>C凸性</p><p>D收益性</p>,4,C,凸性是债券价格与到期收益率之间用弯曲程度的表达方式。,0,0
1,(单选题)银行承兑汇票的业务主要体现在银行承兑汇票的承兑和贴现业务上，在我国全部票据业务中占比超过( ),<p>A90%</p><p>B80%</p><p>C70%</p><p>D60%</p>,4,A,银行承兑汇票的业务主要体现在银行承兑汇票的承兑和贴现业务上，在我国全部票据业务中占比超过 90%。承兑业务由银行提供，其本质是由银行将其信用出借给企业，因此企业必须缴纳一定的手续费.,0,0
1,(单选题)债券借贷的期限由借贷双方协商确定，但最长不得超过( )天,<p>A90</p><p>B91</p><p>C360</p><p>D365</p>,4,D,债券借贷的期限由借贷双方协商确定，但最长不得超过365天。 ,0,0
1,(单选题)我国同业拆借市场上交易活跃的品种有1天(隔夜)、7天、14天、1个月、3个月、6个月、9个月和1年。同 业拆借的利息是按日结算的。拆息率则根据剔除该品种每天最高和最低的报价后的算术平均数得到，并 于每天上午( )对外发布.,<p>A9：00</p><p>B10：00</p><p>C9：30</p><p>D11：30</p>,4,D,我国同业拆借市场上交易活跃的品种有1天(隔夜)、7天、14天、1个月、3个月、6个月、9个月和1年。 同业拆借的利息是按日结算的。 拆息率则根据剔除该品种每天最高和最低的报价后的算术平均数得到，并于每天上午11:30对外发布。,0,0
1,(单选题)通常情况下，再融资发行的股票会使流通的股票增加( ),<p>A5%～20%</p><p>B10%～25%</p><p>C15%～25%</p><p>D10%～20%</p>,4,A,通常情况下，再融资发行的股票会使流通的股票增加5%～20%。,0,0
1,(单选题)中国证监会对基金管理公司到香港设立机构的申请进行审查，自受理之日起( )日内作出批准或者不予批准的决定。,<p>A30</p><p>B45</p><p>C60</p><p>D90</p>,4,C,基金管理公司到香港特区设立机构，应当经董事会或者股东会做出决议后，按照《关于证券投资基金 管理公司在香港设立机构的规定》向中国证监会报送申请材料。 中国证监会对基金管理公司到香港设立机构的申请进行审查，自受理之日起60日内作出批准或者不予 批准的决定。,0,0
1,(单选题)市场组合的贝塔值是标准值( ),<p>A1</p><p>B2</p><p>C5</p><p>D10</p>,4,A,贝塔值是用来度量一个资产或资产组合的收益波动性相对于市场收益波动性的规模的，因此市场组合 的贝塔值必定是标准值1。 ,0,0
1,(单选题)在深圳证券交易所，B股的结算费为成交金额的( ),<p>A0.5‰</p><p>B0.15‰</p><p>C1‰</p><p>D1.75‰</p>,4,A,对于B股，虽然没有过户费，但中国结算公司要收取结算费。在上海证券交易所，结算费是成交金额 的0.5‰;在深圳证券交易所，称为“结算登记费”，是成交金额的0.5‰，但最高不超过500港元。 ,0,0
1,(单选题)( )认为只有证券或证券组合的系统性风险才能获得收益补偿，其非系统性风险将得不到收益补偿。 ,<p>A最大方差法模型</p><p>B最小方差法模型</p><p>C均值方差法模型</p><p>D资本资产定价模型</p>,4,D,资本资产定价模型认为只有证券或证券组合的系统性风险才能获得收益补偿，其非系统性风险将得不 到收益补偿。按照该逻辑，投资者要想获得更高的报酬，必须承担更高的系统性风险;承担额外的非系 统性风险将不会给投资者带来收益。 ,0,0
1,(单选题)影响净资产收益率的指标不包括( ),<p>A总资产周转率</p><p>B销售利润率</p><p>C资产收益率</p><p>D流动比率</p>,4,D,影响净资产收益率的指标包括总资产周转率、销售利润率、资产收益率。,0,0
1,(单选题)( )是指一方主管机构未经他方主管机构的请求，将其所取得与他方主管机构有关的信息，主动提供给他方主管机构。 ,<p>A自发性协助</p><p>B相互提供信息</p><p>C自发性监管</p><p>D自律监管</p>,4,A,所谓“自发性协助”，系指一方主管机构未经他方主管机构的请求，将其所取得与他方主管机构有关 的信息，主动提供给他方主管机构。国际证监会组织技术委员会发布的《跨国投资管理行为的合作与 监督宣言》规定，如任何一方拥有可协助他方执行其监管职能的信息，即使没有任何他方提出要求， 拥有信息的一方也可主动自愿地提供或安排他人提供该信息。,0,0
1,(单选题)( )也称权益报酬率。 ,<p>A资产收益率</p><p>B销售利润率</p><p>C权益乘数</p><p>D净资产收益率</p>,4,D,净资产收益率也称权益报酬率，强调每单位的所有者权益能够带来的利润，等于净利润与所有者权益 之比。净资产收益率高，说明企业利用其自由资本获利的能力强，投资带来的收益高;净资产收益率低 则相反。 ,0,0
1,(单选题)Brinson方法较为直观、易理解，下列不属于基金收益与基准组合收益的差异归因的因素是( ),<p>A资产配置</p><p>B行业选择</p><p>C交叉效应</p><p>D风险调整</p>,4,D,对于股票型基金，常用的是Brinson方法。这种方法较为直观、易理解，它把基金收益与基准组合收益 的差异归因于四个因素：资产配置、行业选择、证券选择以及交叉效应。 ,0,0
1,(单选题)投资者的风险承受能力取决于投资者的境况，不包括( ),<p>A资产负债状况</p><p>B现金流入情况</p><p>C投资期限 </p><p>D投资者风险厌恶程度</p>,4,D,风险承受能力取决于投资者的境况，包括其资产负债状况、现金流入情况和投资期限。如果投资者的 资产远远大于负债，那么承担风险所导致的损失通常可以由资产和收入消化。如果投资期限较长，那 么投资者有足够长的时间来调整自己的投资组合构成状况以适应投资损失，比如提高储蓄率和提高无 风险资产在投资组合中所占比重，或者只是等待市场好转。 ,0,0
1,(单选题)下列不属于常用的财务杠杆比率的是( ),<p>A资产负债率</p><p>B权益乘数和负债权益比</p><p>C利息倍数</p><p>D资产收益率</p>,4,D,财务比率分析是指用财务比率来描述企业财务状况、盈利能力以及流动性的分析方法。财务比率通过 不同的会计数据计算形成，通常以比值的形式出现。常用的财务杠杆比率包括资产负债率、权益乘数 和负债权益比、利息倍数。 ,0,0
1,(单选题)按照会计恒等式，资产负债表的基本逻辑关系表述为( ),<p>A资产=负债+所有者权益+收入-费用</p><p>B资产=负债+资本公积+盈余公积</p><p>C资产=负债+收入-费用</p><p>D资产=负债+所有者权益</p>,4,D,按照会计恒等式，资产负债表的基本逻辑关系表述为资产=负债+所有者权益。 ,0,0
1,(单选题)权益乘数的计算方法是( ),<p>A资产/所有者权益</p><p>B负债/所有者权益</p><p>C资产/负债</p><p>D负债/资产</p>,4,A,权益乘数和负债权益比是由资产负债率衍生出来的两个重要比率，其公式分别为： 权益乘数=资产/所有者权益 负债权益比=负债/所有者权益,0,0
1,(单选题)下列关于资本市场线和证券市场线的说法，错误的是( ),<p>A资本市场线是CAPM的核心</p><p>B资本市场线给出了所有有效投资组合风险与预期收益率之间的关系</p><p>C证券市场线给出了每一个风险资产风险与预期收益率之间的关系</p><p>D证券市场线为每一个风险资产进行定价</p>,4,A,证券市场线(securitiesmarketline，SML)是以资本市场线为基础发展起来的，它是CAPM的核心，因此A 选项错误。 ,0,0
