1,(单选题)目前我国银行间现券交易的结算日有（）。I.T+0 II.T+1 III.T+2 IV.T+3,<p>AI.II</p><p>BI.IV</p><p>CII.III</p><p>DIII.IV</p>,4,A,目前，银行间债券市场现券交易的结算日有 T+0 和 T+1 两种。,0,0
1,(单选题)（）一般指短期的，具有高流动性的低风险证券。,<p>A债券</p><p>B基金</p><p>C股票</p><p>D货币市场工具 </p>,4,D,货币市场基金期限短、流动性高风险低。,0,0
1,(单选题)关于远期合约，下列（）是错误的。,<p>A远期合约一般不在交易所进行交易，而是在金融机构之间或金融机构与客户之间通过谈判后签署的</p><p>B远期合约是指交易双方约定在未来的某一确定的时间，按约定的价格买入或卖出一定数量的某种合约 标的资产的合约</p><p>C远期合约市场的效率较高</p><p>D远期合约的违约风险会比较高</p>,4,C,远期合约市场的效率较低。,0,0
1,(单选题)承担审查基金资产净值和基金份额净值的责任人是（）。,<p>A基金托管人</p><p>B基金销售机构</p><p>C注册登记机构</p><p>D基金审计的会计师事务所</p>,4,A,复核、审查基金管理人计算的基金资产净值和基金份额申购、赎回价格，是基金托管人的职责。,0,0
1,(单选题)（）是指资金需求方在出售证券的同时与证券的购买方在一定期限后按约定价格购回所卖证券的交易行 为。,<p>A期权交易</p><p>B回购协议</p><p>C互换交易</p><p>D远期交易 </p>,4,B,题干描述的是回购协议的内容。,0,0
1,(单选题)人民币利率互换是指交易双方同意在约定期限内，根据人民币本金交换现金流的行为，交易双方的现金 流分别根据（）计算。,<p>A固定利率、贷款利率</p><p>B浮动利率、固定利率</p><p>C存款利率、贷款利率</p><p>D存款利率、浮动利率 </p>,4,B,人民币利率互换交易是指交易双方约定在未来的一定期限内，根据约定数量的人民币本金交换现金流 的行为，其中一方的现金流根据浮动利率计算，另一方的现金流根据固定利率计算。,0,0
1,(单选题)关于混合型基金投资风险，以下表述正确的是（）。,<p>A混合型基金的风险高于股票型基金</p><p>B混合型基金的投资风险主要取决于股票和债券配置的比例</p><p>C混合型基金的预期收益低于债券型基金</p><p>D混合型基金的预期收益高于债券型基金 </p>,4,B,混合型基金的风险和收益都介于股票基金和债券基金之间，债券基金的风险预期收益最低。,0,0
1,(单选题)下列关于下行风险说法错误的是（）。,<p>A下行风险是投资可能出现的最坏的情况，也是投资者可能需要承担的损失</p><p>B根据CFA协会的定义，最大回撤是从资产最高价格到接下来最低价格的损失</p><p>C投资的期限越短，最大撤回指标就越不利，因此在不同的基金之间使用该指标的时候，应尽量控制在 同一个评估期间</p><p>D从基金经理的角度看，来自于客户的收入是其主要的收入来源，失去客户是致命的损失</p>,4,C,投资的期限越长，最大撤回指标就越不利，而不是期限越短。,0,0
1,(单选题)我国债券市场的场内交易场所主要是指（）。,<p>A银行间市场</p><p>B上海证券交易所、深圳证券交易所</p><p>C银行柜台市场</p><p>D证券公司 </p>,4,B,我国债券市场的场内交易场所主要是指上海证券交易所和深圳证券交易所。,0,0
1,(单选题)期货市场风险管理的功能是通过（）实现的。,<p>A建仓</p><p>B卖空</p><p>C买空</p><p>D套期保值</p>,4,D,期货市场风险管理功能是通过套期保值实现的。,0,0
1,(单选题)证券登记结算机构须采用（）措施保证业务的正常运行。 Ⅰ.制定完善的风险防范机制和内部控制制度； Ⅱ.建立完善的技术系统，制定由结算参与人共同遵守的技术标准和规范； Ⅲ.要建立完善的结算参与人准入标准呢和风险评估体系； Ⅳ.要对结算数据和技术系统进行备份，制定业务紧急应变程序和操作流程。,<p>AⅠ.Ⅱ.Ⅲ</p><p>BⅡ.Ⅲ.Ⅳ</p><p>CⅠ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅲ.Ⅳ</p>,4,D,证券登记结算机构为证券市场提供安全、高效的证券登记结算服务。根据自律管理的要求，它须采取 以下措施保证业务的正常运行：一是要制定完善的风险防范机制和内部控制制度；二是要建立完善的 技术系统，制定由结算参与人共同遵守的技术标准和规范；三是要建立完善的结算参与人准入标准和 风险评估体系；四是要对结算数据和技术系统进行备份，制定业务紧急应变程序和操作流程。,0,0
1,(单选题)任何一家市场参与者在进行买断式回购交易时单只券种的待返售债券余额应小于该只债券流通量的 （）%，任何一家市场参与者待返售债券总余额应小于其在债券登记托管结算机构托管的自营债券总量的 200%。,<p>A5</p><p>B10</p><p>C20</p><p>D15</p>,4,C,任何一家市场参与者在进行买断式回购交易时单只券种的待返售债券余额应小于该只债券流通量的 20％。,0,0
1,(单选题)我国证券交易所的设定和解散由（）决定。,<p>A证监会</p><p>B中国人民银行</p><p>C国家发展和改革委员会</p><p>D国务院 </p>,4,D,我国证券交易所的设立和解散由国务院决定。,0,0
1,(单选题)交易员的职责，不包括(),<p>A执行基金经理制定的交易指令</p><p>B向基金经理及时反馈市场信息</p><p>C及时在市场异动中做出决策</p><p>D以对投资有利的价格进行证券交易</p>,4,C,交易部的交易员充当着重要角色，一方面要以对投资有利的价格进行证券交易，另一方面要向基金经 理及时反馈市场信息。,0,0
1,(单选题)下列关于衍生工具的说法，错误的是（）,<p>A远期合约、期货合约、互换合约、结构化金融衍生工具常被称为基础性衍生模块</p><p>B按合约特点可以分为远期合约、期货合约、期权合约、互换合约和结构化金融衍生工具</p><p>C独立衍生工具指期权合约、期货合约或者互换合约</p><p>D按产品形态可以分为独立衍生工具、嵌入式衍生工具</p>,4,A,"远期合约、期货合约、期权合约、互换合约是四种基本的衍生工具, 也常被称作“基础性衍生模块”。 通过相互结合或者与基础金融工具相结合，能够开发和设计出更多具有复杂特性的金融衍生工具，这 些金融衍生工具通常被称为结构化金融衍生工具",0,0
1,(单选题)某基金的年化收益率为35%，年化标准差为28%，在标准正态分布下，该基金年度收益率在67%的概率 下，会落在（）。,<p>A28%~-28%</p><p>B28%~-35%</p><p>C63%~7%</p><p>D70%~35%</p>,4,C,63％~7％相当于针对均值的 1 个标准差的偏离，根据标准正态分布表，1 个标准差的偏离概率是 67%。,0,0
1,(单选题)某3年期债券的面值1000元，票面利率为8%，每年付息一次，现在市场收益率为10%，其市场价格为 950.25元，则其久期为（）,<p>A2.68年</p><p>B2.78年</p><p>C3.01年</p><p>D4.58年</p>,4,B,某3年期债券的面值1000元，票面利率为8%，每年付息一次，现在市场收益率为10%，其市场价格为 950.25元，则其久期为2.78年。,0,0
1,(单选题)关于保证金交易业务，以下表述正确的是（）,<p>A证券市场的主要交易模式是一手交钱，一手交货</p><p>B在标的证券价格变化时，融券业务的维持担保比例也必须大于100%</p><p>C保证金交易让投资者可以从银行那里借得资金或证券，这样就能进行超过自己可支付范围的交易。</p><p>D融券交易没有平仓之前，投资者融券卖出所得资金除买券还券外，可以用于其他用途的。</p>,4,A,在标的证券价格变化时，融券业务的维持担保比例也必须大于130%，A错误；保证金交易让投资者可 以从证券经纪商那里借得资金或证券，这样就能进行超过自己可支付范围的交易，C错误；不能用于 其他用途，D错误。,0,0
1,(单选题)关于非系统风险的说法错误的是（）,<p>A非系统风险都可以分散</p><p>B系统风险是无法分散</p><p>C在投资组合中融入不同类别的资产能够降低投资组合的风险。</p><p>D当其资产数量变得很大时， 投资组合的总风险趋近于其非系统性风险</p>,4,D,当其资产数量变得很大时， 投资组合的总风险趋近于其系统性风险。,0,0
1,(单选题)按照中国人民银行的规定，买断式回购交易时单只券种的待返售债券余额应小于该只债券流通量的（）,<p>A0.1</p><p>B0.2</p><p>C0.3</p><p>D0.4</p>,4,B,在全国银行间债券市场进行买断式回购交易时，任何一家市场参与者单只券种的待返售债券余额应小于该 只债券流通量的20%,0,0
1,(单选题)关于交易成本，以下表述正确的是（）,<p>A隐性成本包括佣金、印花税和过户费</p><p>B大盘筹股流动性较好，买卖价差大；小盘股则反之。</p><p>C受市场因素影响，目标组合和被转换组合在转持期间往往有不同的损益表现。</p><p>D目标组合与被转换组合的差异越大，机会成本增加的可能性就越低。</p>,4,C,显性成本包括佣金、印花税和过户费等；大盘筹股流动性较好，买卖价差小；小盘股则反之；目标组合与被转换组合的差异越大，机会成本增加的可能性就越高。,0,0
