1,(单选题)基金当事人不包括（）。,<p>A基金份额持有人</p><p>B基金销售机构</p><p>C基金托管人</p><p>D基金管理人</p>,4,B,基金销售机构属于基金市场服务机构。,0,0
1,(单选题)（）是指基金从业人员不应泄露或者披露客户和所属机构或者相关基金机构向其传达的信息，除非该信息涉及客户或潜在客户的违法活动，或者属于法律要求披露的信息，或者客户或潜在客户允许披露此信息。,<p>A守法合规</p><p>B诚实守信</p><p>C保守秘密</p><p>D专业审慎</p>,4,C,保守秘密是指基金从业人员不应泄露或者披露客户和所属机构或者相关基金机构向其传达的信息，除非该信息涉及客户或潜在客户的违法活动，或者属于法律要求披露的信息，或者客户或潜在客户允许披露此信息。,0,0
1,(单选题)下列关于忠诚尽责的基本要求，说法不正确的是（）。,"<p>A不得接受利益相关方的贿赂或对其进行商业贿赂,如接受或赠送礼物、回扣、补偿或报酬等</p><p>B不得利用职务之便或者机构的商业机会为自己或者他人牟取非法利益</p><p>C基金从业人员本人、配偶、利害关系人进行证券投资，应当守所在机构有关从业人员的证券投资管理制度办理报批或报备手续</p><p>D不得从事与投资人利益相冲突的业务</p>",4,D,"忠诚尽责的基本要求包括:1.廉洁公正。具体而言，基金从业人员应当做到以下几点:⑴不得接受利益相关方的贿赂或对其进行商业贿赂如接受或赠送礼物、回扣、补偿或报酬等。⑵不得利用基金财产或者所在机构固有财产为自己或者他人牟取非法利益。⑶不得利用职务之便或者机构的商业机会为自己或者他人牟取非法利益;(4)不得侵占或者挪用基金财产或者机构固有财产。（5）不得为了迎合客户的不合理要求而损害社会公共利益、所在机构或者他人的合法权益，不得私下接受客户委托买卖证券期货。（6）不得从事可能导致与投资者或所在机构之间产生利益冲突的活动。（7）乃抵制来自于上级、同事、亲友等各种关系因素的不当干扰，坚持原则，独立自主。2.忠诚敬业。具位而言：⑴基金从业人员应当与所在机构签订正式的劳动合同或其他形式的聘任合同,保证基金从业人员在相应机构对其进行直接管理的条件下从事执业活动。⑵基金从业人员有义务保护公司财产、信息安全，防止所在机构资产损坏、失。（3）基金从业人员应当严格遵守所在机构的授权制度，在授权范围内展行职责：超出授权范围的，应当按照所在机构制度履行批准程序。⑷基金从业人员提出辞职时，应当按照聘用合同约定的期限提前向公司提出申请，并积极配合有关部门完成工作移交。已提出辞职但尚未完成工作移交的，从业人员应认真履行各种义务，不得擅自离岗：已完成工作移交的从业人员应当按照聘用合同的规定，认真展行保密、竞业禁止等义务。（5）基金从业人员本人、配偶、利害关系人进行证券投资，应当遵守所在机构有关从业人员的证券投资管理制度办理报批或报备手续。",0,0
1,(单选题)根据有关规定，开放式基金的募集期限为自基金份额发售之日起计算不得超过（）个月。,<p>A6</p><p>B5</p><p>C3</p><p>D1</p>,4,C,开放式基金的募集期限为自基金份额发售之日起计算不得超过3个月。,0,0
1,(单选题)股票基金与股票的不同之处不包括（）。,"<p>A投资者可以对股票价格高低的合理性作出判断,而不能对基金;争值作出判断</p><p>B股票价格受投资者买卖数是的大小和强弱的影响,而股票基金则不受买卖数量的影响</p><p>C单一股票风险集中，而股票基金进行于分散投资降低了投资风险,却加了委托代理风险</p><p>D股票价格在一个交易日内始终处于变化中,从而股票基金每天至少有一个价格</p>",4,D,股票基金与股票的4个主要区别。,0,0
1,(单选题)下列关于证券投资基金与股票的区别，说法错误的是（）。,"<p>A股票反映的是一种所有权关系,基金反映的则是一种信托关系</p><p>B股票价格的波动要小于基金净值的波动</p><p>C股票是直接投资工具,基金是间接投资工具</p><p>D股票投资风险通常大于基金投资风险</p>",4,B,基金与股票、债券的差异表现为：1.反映的经济关系不同。股票反映的是一种所有权关系，基金反映的则是一种信托关系；2.所筹资金的投向不同，股票和债券是直接投资工具，基金是一种间接投资工具；3.投资收益与风险大小不同。通常情况下，股票价格的波动性较大，是一种高风险、高收益的投资品种，基金是一种风险相对适中、收益相对稳健的投资品种。,0,0
1,(单选题)下列关于诚实守信的基本要求，说法不正确的是（）。,<p>A不得欺诈客户</p><p>B不得进行内幕交易</p><p>C不得操纵市场</p><p>D持证上岗</p>,4,D,诚实守信的基本要求包括：1.不得欺诈客户；2.不得进行内幕交易和操纵市场，持证上岗是专业审慎的基本要求。,0,0
1,(单选题)（）就是识别和分析与实现目标相关的风险，从而为确定应该如何管理风险奠定基础。,<p>A风险评估</p><p>B风险应对</p><p>C事项识别</p><p>D控制活动</p>,4,A,"风险评估就是识别和分析与实现目标相关的风险,从而为确定应该如何管理风险奠定基础。",0,0
1,(单选题)基金托管人技术系统的内部控制应通过严格的管理措施，确保系统安全运行，其中不包括（）。,<p>A授权制度</p><p>B信息披露制度</p><p>C门禁制度</p><p>D内外网分离制度</p>,4,B,技术系统的内部控制的内容。,0,0
1,(单选题)证券投资基金是指通过公开发售基金份额，将众多投资者的资金集中起来，形成独立资产，由（），托管，（）管理，以投资组合的方式进行证券投资的一种利益共享、风险共担的集合投资方式。,"<p>A基金管理人,基金托管人</p><p>B证券交易所,基金管理人</p><p>C基金托管人,基金管理人</p><p>D基金管理人,基金投资咨询机构</p>",4,C,证券投资基金是指通过公开发售基金份额，将众多投资者的资金集中起来，形成独立资产，由基金托管人托管，基金管理人管理，以投资组合的方式进行证券投资的一种利益矣享、风险共担的集合投资方式。,0,0
1,(单选题)托管人的首要职责是（）。,<p>A保证基金资产的安全</p><p>B使基金资产增值</p><p>C对基金管理人进行监督</p><p>D召集基金持有人大会</p>,4,A,托管人的首要职责是保证基金资产的安全。,0,0
1,"(单选题)证券投资基金实行利益共享风险共担的原则,这里的""利益共享，风险共享""是指（）。","<p>A投资者和管理人共同承担</p><p>B所参与主体共同承担</p><p>C托管人承担</p><p>D如果一只证券投资基金出现投资损失,该风险由基金投资者共同承担</p>",4,D,证券投资基金实行利益共享、风险共担的原则。基金投资者是基金的所有者，同时也是基金风险的承担者。,0,0
1,(单选题)因证券市场波动、上市公司合并、基金规模变动等基金管理人之外的因素致使基金投资不符合有关投资比例的，基金管理人应当在（）个交易日内进行调整。,<p>A5</p><p>B10</p><p>C20</p><p>D30</p>,4,B,因证券市场波动、上市公司合并、基金规模变动等基金管理人之外的因素致使基金投资不符合有关投资比例的，基金管理人应当在10个交易日内进行调整。,0,0
1,(单选题)不属于基金巨额赎回的是（）。,<p>A单个开放日基金净赎回申请为上一日基金总份额的14%</p><p>B单个开放日基金净赎回申请为上一日基金总份额的11%</p><p>C单个开放日基金净赎回申请为上一日基金总份额的8%</p><p>D单个开放日基金净赎回申请为上一日基金总份额的16%</p>,4,C,单个开放日基金净赎回申请超过基金总份额的10%时，为巨额赎回。,0,0
1,(单选题)QDII基金定期报告中的特殊披露要求不包括（）。,<p>A境外投资顾问和境外资产托管人信息</p><p>B境外证券投资信息</p><p>C投资境外市场可能产生的风险信息</p><p>D外币交易及外币折算相关的信息</p>,4,C,投资境外市场可能产生的风险信息属于基金合同、招募说明书的特殊披露要求。,0,0
1,(单选题)基金销售售前服务的主要内容中不包括（）。,<p>A向客户介绍证券市场基础知识、基金基础知识</p><p>B普及基金相关法律规定</p><p>C介绍基金管理人任职年限、工作经历</p><p>D开展投资者风险教育</p>,4,C,基金客户服务的内容。,0,0
1,(单选题)基金管理人加强合规文化建设，应当努力的方面不包括（）。,"<p>A基金管理人管理层对合规文化建设工作足够重视</p><p>B有效落实风险隔离机制</p><p>C积极推行全员合规理念,加强合规文化思想教育</p><p>D加强合规管理部门与业务部、监察稽核部等各部门之间的信息交流和良好的互动性,实现资源共享</p>",4,B,B选项是有效落实合规考核制。,0,0
1,(单选题)（）证券组合的投资者很少会购买分红的普通股。,<p>A增长型</p><p>B混合型</p><p>C货币市场型</p><p>D收入型</p>,4,A,增长型证券组合的投资者很少会购买分红的普通股。,0,0
1,(单选题)以下不属于注册登记机构的主要职责的是（）。,<p>A建立并管理投资者基金净值账户</p><p>B负责基金份额登记，确认基金交易</p><p>C发放红利</p><p>D建立并保管基金投资人名册</p>,4,A,注册登记机构的主要职责：建立并管理投资者基金份额账户；负责基金份额登记，确认基金交易；发放红利；建立并保管基金投资者名册；基金合同或者登记代理协议规定的其他职责。,0,0
