1,(单选题)LOF基金份额赎回申报单位为（）。,<p>A1元人民币</p><p>B1份基金份额</p><p>C10元人民币</p><p>D10份基金份额</p>,4,B,LOF基金份额赎回申报单位为1份基金份额。,0,0
1,(单选题)自2012年起，新募集的分级基金要求设定单笔认/申购金额的下限：合并募集的分级基金，单笔认/申购金额不得低于（）万元；分开募集的分级基金，B类份额单笔认/申购金额不得低于（）万元。,<p>A5；5</p><p>B5；10</p><p>C10；10</p><p>D1；5</p>,4,A,自2012年起，新募集的分级基金要求设定单笔认/申购金额的下限：（本题本题出自金考必过，网址：www.jinkaobiguo.com，最好的刷题网站。）①合并募集的分级基金，单笔认/申购金额不得低于5万元；②分开募集的分级基金，B类份额单笔认/申购金额不得低于5万元。,0,0
1,(单选题)当基金管理人认为兑付投资者的赎回申请有闹难，或认为兑付投资者的赎回申请进行的资产变现可能使基金份额净值发生较大波动时，基金管理人在当日接受赎回比例不低于上一日基金总份额（）的前提下，对其余赎回申请延期办理。,<p>A0.11</p><p>B0.09</p><p>C0.1</p><p>D0.2</p>,4,C,当基金管理人认为兑付投资者的赎回申请有困难，或认为兑付投资者的赎回申请进行的资产变现可能使基金份额净值发生较大波动时，基金管理人在当日接受赎回比例不低于上一日基金总份额10%的前提下，对其余赎回申请延期办理。,0,0
1,(单选题)ETF基金份额折算由（）办理。,<p>A证券公司</p><p>B基金托管人</p><p>C注册登记机构</p><p>D基金管理人</p>,4,D,ETF基金份额折算由基金管理人办理。,0,0
1,(单选题)投资者将上市开放式基金份额从TA系统转入证券登记系统，自（）日开始，投资者可以通过转入方证券营业部申报在深圳证券交易所卖出或赎回基金份额。,<p>AT+4</p><p>BT+3</p><p>CT+1</p><p>DT+2</p>,4,D,投资者将上市开放式基金份额从TA系统转入证券登记系统，自T＋2日开始，投资者可以通过转入方证券营业部申报在深圳证券交易所卖出或赎回基金份额。,0,0
1,(单选题)关于封闭式基金的上市交易条件的表述，不正确的是（）。,<p>A基金合同期限在5年以上</p><p>B封闭式基金份额总额达到核准规模的80%以上</p><p>C基金份额持有人不少于10000人</p><p>D基金募集金额不低于2亿元人民币</p>,4,C,基金份额持有人不少于1000人。,0,0
1,(单选题)基金管理人可设总经理（）、副总经理（）。,<p>A一人；若干人</p><p>B若干人；一人</p><p>C两人；若干人</p><p>D若干人；两人</p>,4,A,基金管理人可设总经理一人，副总经理若干人。,0,0
1,(单选题)基金与银行储蓄存款的差异不包括（）。,<p>A性质不同</p><p>B收益与风险特性不同</p><p>C投资主体要求不同</p><p>D信息披露程度不同</p>,4,C,基金与银行储蓄存款的差异主要表现在3个方面：性质不同、收益与风险持性不同、信息披露程度不同。,0,0
1,(单选题)证券投资基金业协会的会员等级分为（）。,<p>A普通会员、公司会员、特别会员</p><p>B普通会员、联席会员、公司会员</p><p>C普通会员、联席会员、特别会员</p><p>D普通会员、公司会员、特殊会员</p>,4,C,基金管理人、基金托管人应当加入基金业协会，（本题本题出自金考必过，网址：www.jinkaobiguo.com，最好的刷题网站。）基金服务机构可以加入基金业协会。会员分为三类：普通会员、联席会员、特别会员,0,0
1,(单选题)当媒体报道或市场流传的消息可能对基金价格产生误导性影响或引起较大波动时，（）应在知悉后立即对该消息进行公开澄清。,<p>A基金托管人</p><p>B监管机构</p><p>C基金管理人</p><p>D证券交易所</p>,4,C,当媒体报道或市场流传的消息可能对基金价格产生误导性影响或引起较大波动时，基金管理人应在知悉后立即对该消息进行公开澄渣。,0,0
1,(单选题)基金交易应实行（）制度，基金经理不得直接向交易员下达投资指令或者直接进行交易。,<p>A集中交易</p><p>B分级交易</p><p>C分散交易</p><p>D分层交易</p>,4,A,基金交易应实行集中交易制度，基金经理不得直接向交易员下达投资指令或者直接进行交易。,0,0
1,(单选题)关于LOF基金上市交易的表述正确的是（）。,"<p>A申报价格最小变动单位为0.01元人民币</p><p>B深圳交易所对LOF交易实行价格涨跌幅限制,涨跌幅比例为5%;自上市首日起执行</p><p>C自T+2日起，投资者申购的份额可用</p><p>DLOF份额场内、场外申购和赎回均采取“份额申购、份额赎回”原则</p>",4,C,申报价格最小变动单位为0.001元人民币；深圳交易所对LOF交易实行价格涨跌幅限制；涨跌幅比例为10%自上市首日起执行；LOF份额场内、场外申购和赎回均采取"金额申购、份额赎回"原则。,0,0
1,(单选题)巴塞尔银行监管委员会在总结国际上知名银行合规管理的成功经验的基础上，提出银行的合规部门应该是独立的。这一独立性概念包含的要素不包括（）。,<p>A合规部门应在银行内部享有正式地位</p><p>B应由三名集团合规官或合规负责人全面负责协调银行的合规风险管理</p><p>C在合规部门职员特别是合规负责人的职位安排上，应避免他们的合规职责与其所承担的任何其他职责之间产生可能的利益冲突</p><p>D合规部门职员为履行职责，应能够获取必需的信息并能接触相关人员</p>,4,B,巴塞尔银行监管委员会在总结国际上知名银行合规管理的成功经验的基础上，提出银行的合规部门应该是独立的。这一独立性概念包含四个相关要素：第一，合规部门应在银行内部享有正式地位；第二，应由一名集团合规言或合规负责人全面负责协调银行的合规风险管理；第三，在合规部门职员特别是合规负责人的职位安排上，应避免他们的合规职责与其所承担的任何其他职责之间产生可能的利益冲突：第四，合规部门职员为履行职责，应能够获取必需的信息并能接触到相关人员。,0,0
1,(单选题)我国基金交易佣金征收的起点是（）元。,<p>A1元</p><p>B5元</p><p>C10元</p><p>D15元</p>,4,B,我国基金交易佣金征收的起点是5元,0,0
1,(单选题)基金管理人的合规管理涉及风险控制、公司治理、投资管理、监察稽核等内容。具体内容不包括（）。,<p>A随时传达监管要求，营造公司合规文化、提高员工合规意识</p><p>B审核各业务部门对外签订的合同，控制风险，防范商业贿赂；审核业务部门修订的制度；负责审核公司对外披露的各类信息</p><p>C开展法律咨询，协助外部律师共同处理公司法律纠纷以及投诉</p><p>D梳理整合各项法律法规、规章制度，开展合规培训</p>,4,A,基金管理人的合规管理涉及风险控制、公司治理、投资管理、监察稽核等内容。具体内容包括：（1）定期传达监管要求，营造公司合规文化、提高员工合规意识。（2）审核各业务部门对外签订的合同，控制风险，防范商业贿赂；审核业务部门修订的制度；负责审核公司对外披露的各类信息。（3）根据法律法规及公司制度的要求，检查评估基金发行及日常运作中（销售、投资、运营）各项活动的合规性，防范运作风险。（4）梳理整合各项法律法规、规章制度，开展合规培训。（5）参与基金管理人的组织构架和业务流程再造、为新产品提供合规支持。（6）开展法律咨询，协助外部律师共同处理公司法律纠纷以及投诉。,0,0
1,(单选题)基金上市交易公告书的编制主体是（）。,<p>A基金管理人</p><p>B基金托管人</p><p>C基金持有人</p><p>D代销机构</p>,4,A,凡是根据有关法律法规发售基金份额并申请在证券交易所上市交易的基金，（本题本题出自金考必过，网址：www.jinkaobiguo.com，最好的刷题网站。）基金管理人均应编制并披露基金上市交易公告书。,0,0
1,(单选题)（）是指完成市场细分后，销售机构有能力向某一细分市场提供其所需的基金产品和服务，即该细分市场是易于开发、便于进入的。,<p>A可测原则</p><p>B易入原则</p><p>C成长原则</p><p>D利润原则</p>,4,B,易入原则是指完成市场细分后，销售机构有能力向某一细分市场提供其所需的基金产品和服务，即该细分市场是易于开发、便于进入的。,0,0
1,(单选题)（）不是基金托管人的职责主要体现方面。,<p>A基金资产保管</p><p>B基金信息披露</p><p>C基金资金清算</p><p>D会计复核</p>,4,B,基金信息披露是基金管理人的职责.,0,0
