1,(单选题)在我国，拟设立的基金管理公司的注册资本不低于人民币( ）元,<p>A2亿</p><p>B5000万</p><p>C1亿</p><p>D1.5亿</p>,4,C,在我国，拟设立的基金管理公司的注册资本不低于人民币1亿元。 ,0,0
1,(单选题)基金的客户服务方式不包括( ),<p>A电话服务中心</p><p>B邮寄服务</p><p>C公共关系</p><p>D互联网的应用</p>,4,C,基金的客户服务方式包括电话服务中心、邮寄服务、自动传真、电子信箱与手机短信、“一对一”专 人服务、互联网的应用、媒体和宣传手册的应用、讲座、推介会和座谈会。 ,0,0
1,(单选题)货币市场基金不得投资的金融工具是( ),<p>A现金</p><p>B1年以内(含1年)的银行定期存款、大额存单</p><p>C期限在1年以内(含1年)的债券回购</p><p>D可转换债券</p>,4,D,货币市场基金不得投资于以下金融工具： ①股票; ②可转换债券; ③剩余期限超过397天的债券; ④信用等级在AAA级以下的企业债券; ⑤国内信用评级机构评定的A-1级或相当于A-1级的短期信用级别及该标准以下的短期融资券; ⑥流通受限的证券。,0,0
1,(单选题)公募基金的特征不包括( ),<p>A基金募集对象不固定</p><p>B投资金额要求高</p><p>C适宜中小投资者参与</p><p>D必须接受监管部门的严格监管</p>,4,B,公募基金主要具有如下特征：可以面向社会公众公开发售基金份额和宣传推广，基金募集对象不固定; 投资金额要求低，适宜中小投资者参与;必须遵守基金法律和法规的约束，并接受监管部门的严格监 管。 ,0,0
1,(单选题)下列属于基金管理公司及子公司的资产管理业务的是( ),<p>A私募证券投资基金</p><p>B私募股权投资基金</p><p>C公募基金和各类非公募资产管理计划</p><p>D集合资产管理计划</p>,4,C,公募基金和各类非公募资产管理计划属于基金管理公司及子公司的资产管理业务。,0,0
1,(单选题)基金信息披露的内容不包括( ),<p>A基金招募说明书</p><p>B基金合同</p><p>C基金份额持有人的资产状况</p><p>D基金份额上市交易公告书</p>,4,C,公开披露的基金信息包括： (1)基金招募说明书、基金合同、基金托管协议； (2)基金募集情况； (3)基金份额上市交易公告书； (4)基金资产净值、基金份额净值； (5)基金份额申购、赎回价格； (6)基金财产的资产组合季度报告、财务会计报告及中期和年度基金报告； (7)临时报告； (8)基金份额持有人大会决议； (9)基金管理人、基金托管人的专门基金托管部门的重大人事变动； (10)涉及基金财产、基金管理业务、基金托管业务的诉讼或者仲裁； (11)中国证监会规定应予披露的其他信息。,0,0
1,(单选题)既注重资本增值又注重当期收入的证券投资基金是( ),<p>A指数基金</p><p>B增长型基金</p><p>C收入型基金</p><p>D平衡型基金</p>,4,D,根据投资目标的不同，可以将基金分为增长型基金、收入型基金和平衡型基金。其中，平衡型基金是 既注重资本增值又注重当期收入的证券投资基金。 ,0,0
1,(单选题)下列关于基金销售人员基本行为规范的说法，不正确的是( ),<p>A基金销售人员在向投资者推介基金时应首先自我介绍并出示基金销售人员身份证明及从业资格证明</p><p>B基金销售人员在向投资者进行基金宣传推介和销售服务时，应公平对待投资者</p><p>C基金销售人员分发或公布的基金宣传推介材料应根据客户的不同个性化定制</p><p>D基金销售人员应根据投资者的目标和风险承受能力推荐基金品种，并客观介绍基金的风险收益特征， 明确提示投资者注意投资基金的风险</p>,4,C,根据基金销售人员基本行为规范要求，基金销售人员分发或公布的基金宣传推介材料应为基金管理公 司或基金代销机构统一制作的材料，而不是根据客户的不同个性化定制。 ,0,0
1,(单选题)基金经营机构应妥善保存客户交易终端信息和开户资料电子化信息，保存期限不得少于( )年。,<p>A5</p><p>B10</p><p>C15</p><p>D20</p>,4,D,根据基金经营机构客户信息保存期限有关规定：基金经营机构应妥善保存客户交易终端信息和开户资 料电子化信息，保存期限不得少于20年。 ,0,0
1,(单选题)封闭式基金的内容不包括( ),<p>A基金份额在基金合同期限内固定不变</p><p>B一般有一个固定的存续期</p><p>C基金份额不固定</p><p>D可以在依法设立的证券交易所交易</p>,4,C,封闭式基金是指基金份额在基金合同期限内固定不变，基金份额可以在依法设立的证券交易所交易， 但基金份额持有人不得申请赎回的一种基金运作方式。与开放式基金相比，封闭式基金一般有一个固 定的存续期;而开放式基金一般是无特定存续期限的。 ,0,0
1,(单选题)下列关于非公开募集基金的信息披露和报送的说法，正确的是( ),<p>A信息披露规则由基金业协会另行制定</p><p>B发生重大事项的，私募基金管理人应当在20个工作日内向基金业协会报告</p><p>C私募基金管理人应当于每个会计年度结束后的5个月内，向基金业协会报送经会计师事务所审计的年 度财务报告和所管理私募基金年度投资运作基本情况</p><p>D对私募基金资料的保存期限自基金清算终止之日起不得少于20年</p>,4,A,发生重大事项的，私募基金管理人应当在10个工作日内向基金业协会报告，B项不正确； 私募基金管理人应当于每个会计年度结束后的4个月内，向基金业协会报送经会计师事务所审计的年度 财务报告和所管理私募基金年度投资运作基本情况，C项不正确； 对私募基金资料的保存期限自基金清算终止之日起不得少于10年，D项不正确。,0,0
1,(单选题)对于基金管理公司的重大事项的报备，国务院证券监督管理机构应当自受理申请之日起( ）日内作出批准或者不予批准的决定，并通知申请人;不予批准的，应当说明理由。 ,<p>A30</p><p>B40</p><p>C50</p><p>D60</p>,4,D,对于基金管理公司的重大事项的报备，国务院证券监督管理机构应当自受理申请之日起60日内做出批 准或者不予批准的决定，并通知申请人；不予批准的，应当说明理由。 ,0,0
1,(单选题)对于短期交易而言，持续持有期少于7日的投资人，收取不低于赎回金额( )的赎回费用。 ,<p>A0.01</p><p>B0.015</p><p>C0.02</p><p>D0.0075</p>,4,B,对持续持有期少于7日的投资人收取不低于1.5%的赎回费，对持续持有期少于30日的投资人收取不低 于0.75%的赎回费。 ,0,0
1,(单选题)下列关于独立董事任职资格的说法，不正确的是( ),<p>A有履行职责所需要的时间</p><p>B具有3年以上金融、法律或者财务的工作经历</p><p>C直系亲属不在拟任职的基金管理公司任职</p><p>D最近3年没有受到证券、银行、工商和税务等行政管理部门的行政处罚</p>,4,B,独立董事任职资格的条件之一是具有5年以上金融、法律或者财务的工作经历。 ,0,0
1,(单选题)当发生对基金份额持有人权益或者基金价格产生重大影响的事件时，基金管理人应在( )日内编制并披露临时报告书，并分别报中国证监会及地方监管局备案。 ,<p>A1</p><p>B2</p><p>C5</p><p>D7</p>,4,B,当发生对基金份额持有人权益或者基金价格产生重大影响的事件时，基金管理人应在2日内编制并披露临时报告书，并分别报中国证监会及地方监管局备案。,0,0
1,(单选题)从基金公司经营管理的角度看，采取伞形结构比单一结构具有的优势不包括( ),<p>A简化管理</p><p>B降低成本</p><p>C强大的扩张功能</p><p>D效率高</p>,4,D,从基金公司经营管理的角度看，采取伞形结构比单一结构具有的优势表现在简化管理、降低成本;强大 的扩张功能。 ,0,0
1,(单选题)诚实守信的基本要求不包括( ),<p>A不得欺诈客户</p><p>B不得从事与投资人利益相冲突的业务</p><p>C不得进行内幕交易和操纵市场</p><p>D不得进行不正当竞争</p>,4,B,诚实守信要求基金从业人员不得欺诈客户，在证券投资活动中不得有内幕交易和操纵市场行为，对于 同行不得进行不正当竞争。B项属于客户利益优先的要求。 ,0,0
1,(单选题)基金管理公司和基金代销机构制作、分发或公布基金宣传推介材料，应当报工商注册登记所在地中国证 监会派出机构备案报告材料。其报送的内容不包括( )。 ,<p>A基金宣传推介材料的形式和用途说明</p><p>B基金经理出具的合规意见书</p><p>C基金托管银行出具的基金业绩复核函</p><p>D有关获奖证明的复印件</p>,4,B,报送内容包括基金宣传推介材料的形式和用途说明、基金宣传推介材料、基金管理公司督察长出具的 合规意见书、基金托管银行出具的基金业绩复核函或基金定期报告中相关内容的复印件，以及有关获 奖证明的复印件。 ,0,0
1,(单选题)列关于基金管理公司高级管理人员资格管理的说法中，正确的是( ),<p>A基金公司总经理的任选或者改任，应当报中国证监会审核</p><p>B基金管理公司的董事和基金经理的任免，不用报中国证监会审核</p><p>C未经中国证监会核准，基金管理人可以决定本公司法定代表人的任免</p><p>D未经中国银监会核准，基金管理公司不可以决定董事长的任免</p>,4,A,按现行法规规定，基金行业高级管理人员的选任和改选，应报经中国证监会审核。基金公司的董事 长、董事和基金经理的任免，也应当向中国证监会报告。基金管理人的法定代表人、经营管理主要负 责人和从事合规监管的负责人的选任或者改任，应当报经中国证监会进行审核。 ,0,0
1,(单选题)LOF的申购、赎回采用( )原则,<p>A份额申购、份额赎回</p><p>B金额申购、金额赎回</p><p>C金额申购、份额赎回</p><p>D份额申购、金额赎回</p>,4,C,LOF采取“金额申购、份额赎回”原则，即申购以金额申报，赎回以份额申报。 ,0,0
1,(单选题)ETF基金份额折算比例应以四舍五入的方法保留小数点后( )位,<p>A2</p><p>B3</p><p>C5</p><p>D8</p>,4,D,ETF基金份额折算比例应以四舍五入的方法保留小数点后8位。 ,0,0
1,(单选题)下列关于基金与股票的说法，正确的是( ),<p>A基金和股票都属于所有权凭证</p><p>B股票属于间接投资工具</p><p>C基金属于间接投资工具，所筹集的资金主要投资于实业</p><p>D通常，股票的风险和收益要大于基金的风险和收益</p>,4,D,A项，股票属于所有权凭证，基金是一种收益凭证；B、C项股票属于直接投资工具，筹集的资金主要 投向实业领域，基金属于间接投资工具，所筹集的资金主要投向有价证券等金融工具或产品。,0,0
1,(单选题)下列关于基金销售宣传的说法，正确的是( ),<p>A基金代销机构以低于成本的销售费率销售基金</p><p>B基金销售宣传引用的数据和统计资料应当真实、准确，但无须注明出处</p><p>C基金销售宣传资料应当事前报中国证监会备案</p><p>D基金销售宣传引用过往业绩的，应同时声明过往业绩并不预示基金的未来表现</p>,4,D,A、B两项为基金销售禁止行为;C项，宣传资料应当在分发或公布之日起5个工作日内向证监局递送。 ,0,0
1,(单选题)下列属于成长型股票的是( ),<p>A蓝筹股</p><p>B周期型股票</p><p>C低市盈率股票</p><p>D防御型股票</p>,4,B,成长型股票可以被细分为持续成长型股票、趋势增长型股票、周期型股票等。 ,0,0
1,(单选题)不收取基金销售服务费的，对持有持续期长于6个月的投资人，应当将不低于赎回费总额的( )计入基金财产。,<p>A0.05</p><p>B0.1</p><p>C0.25</p><p>D0.3</p>,4,C,不收取基金销售服务费的，对持有持续期长于6个月的投资人，应当将不低于赎回费总额的25%计入基 金财产。 ,0,0
1,(单选题)下列关于宣传推介材料报送内容的说法错误的是( ),<p>A报送内容包括基金宣传推介材料的形式和用途说明、基金宣传推介材料</p><p>B基金管理公司督察长出具的合规意见书</p><p>C基金管理人银行出具的基金业绩复核函或基金定期报告中相关内容的复印件，以及有关获奖证明的复印件</p><p>D基金管理公司或基金代销机构负责基金营销业务的高级管理人员也应当对基金宣传推介材料的合规性 进行复核并出具复核意见</p>,4,C,报送内容包括基金宣传推介材料的形式和用途说明、基金宣传推介材料、基金管理公司督察长出具的 合规意见书、基金托管人银行出具的基金业绩复核函或基金定期报告中相关内容的复印件，以及有关获 奖证明的复印件。 基金管理公司或基金代销机构负责基金营销业务的高级管理人员也应当对基金宣传推介材料的合规性 进行复核并出具复核意见。,0,0
1,(单选题)保本基金起源于( ),<p>A英国</p><p>B美国</p><p>C荷兰</p><p>D日本</p>,4,B,保本基金起源于美国。 ,0,0
1,(单选题)某投资者通过场外申购10万元申购某开放式基金，假设基金管理人规定的申购费率为1.5%，申购当日基 金份额净值为1.15元，则其申购份额为()。 ,"<p>A85671.15</p><p>B85671.25</p><p>C85671.35</p><p>D85671.45
</p>",4,D,按照中国证监会《关于统一规范证券投资基金认(申)购费用及认(申)购份额计算方法有关问题的通知》 的规定，申购费用与申购份额的计算公式如下： 净申购金额=申购金额/(1+申购费率100000(1+1.5%))=98522.17(元);申购份额=净申购金额/申购当日基金 份额净值=98522.171.15=85671.45(份)。 一般规定基金份额份数以四舍五入的方法保留小数点后两位以上，由此产生误差的损失由基金资产承 担，产生的收益归基金资产所有，但不同的基金招募说明中约定不一样，有些采用“基金份额小数点两位以后部分舍去”的方式。,0,0
1,(单选题)按照( )，金融市场可分为货币市场和资本市场。 ,<p>A交易工具的期限</p><p>B交易标的物</p><p>C交割期限</p><p>D交易方式</p>,4,A,按照交易工具的期限，金融市场可分为货币市场和资本市场。 ,0,0
1,(单选题)基金份额持有人享有的权利有( )Ⅰ.分享基金财产收益，参与分配清算后的剩余基金财产 Ⅱ.负责基金资产的投资运作 Ⅲ.依法转让或者申请赎回其持有的基金份额 Ⅳ.查阅或者复制公开披露的基金信息资料,<p>AⅠ.Ⅱ.Ⅲ</p><p>BⅡ.Ⅲ.Ⅳ</p><p>CⅠ.Ⅲ.Ⅳ </p><p>DⅠ.Ⅱ.Ⅲ.Ⅳ</p>,4,C,按照《中华人民共和国证券投资基金法》(简称《证券投资基金法》)的规定，我国基金份额持有人享 有以下权利：分享基金财产收益，参与分配清算后的剩余基金财产，依法转让或者申请赎回其持有的 基金份额，按照规定要求召开基金份额持有人大会，对基金份额持有人大会审议事项行使表决权，查 阅或者复制公开披露的基金信息资料，对基金管理人、基金托管人、基金销售机构损害其合法权益的 行为依法提出诉讼，基金合同约定其他权利。 ,0,0
1,(单选题)QDII基金份额的认购程序不包括( ),<p>A开户</p><p>B认购</p><p>C确认</p><p>D申请</p>,4,D,QDII基金份额的认购程序与一般开放式基金基本相同，主要包括开户、认购、确认三个步骤。 ,0,0
1,(单选题)QDII基金的净值在估值日后( )内披露。,<p>A1～2个工作日</p><p>B3～5个工作日</p><p>C5～10个工作日</p><p>D7个工作日</p>,4,A,QDII基金的净值在估值日后1～2个工作日内披露。,0,0
1,(单选题)基金经理任职应具备的条件不包括( ),<p>A通过中国证监会或者其授权机构组织的高级管理人员证券投资法律知识考试</p><p>B具有3年以上证券投资管理经历</p><p>C没有《公司法》《证券投资基金法》等法律、行政法规规定的不得担任公司董事、监事、经理和基金 从业人员的情形</p><p>D最近5年没有受到证券、银行、工商和税务等行政管理部门的行政处罚</p>,4,D,D项的正确表述应为“最近3年没有受到证券、银行、工商和税务等行政管理部门的行政处罚”。 ,0,0
1,(单选题)下列属于基金托管人职责的是( ),<p>A编制中期和年度基金报告</p><p>B按照基金合同的约定确定基金收益分配方案</p><p>C依法募集资金，办理基金份额的发售和登记事宜</p><p>D安全保管基金财产</p>,4,D,A、B、C三项都是基金管理人的职责。D是担任基金托管人的条件。 ,0,0
1,(单选题)( )年10月28日，十届全国人大常委会第五次审议通过了《中华人民共和国证券投资基金法》。 ,<p>A2003</p><p>B2004</p><p>C2002</p><p>D2013</p>,4,A,2003年10月28日，十届全国人大常委会第五次会议审议通过了《中华人民共和国证券投资基金法》。 ,0,0
