1,(单选题)J曲线是以（）为横轴、（）为纵轴的曲线。,<p>A收益率；风险</p><p>B收益率；时间</p><p>C风险；收益率</p><p>D时间；收益率</p>,4,D,J曲线是以时间为横轴、收益率为纵轴的曲线。,0,0
1,(单选题)公司债的主要形式为（）。,<p>A优先次级债券</p><p>B次级债券</p><p>C优先无保证债券</p><p>D劣后次级债券</p>,4,C,公司债的主要形式为优先无保证债券。,0,0
1,(单选题)以下关于货银对付原则说法错的是()。,<p>A又称钱货两清原则</p><p>B货银对付是指证券登记结算机构与结算参与人在交收过程中给付资金</p><p>C可以理解为一手交钱，一手交货</p><p>D使得交易双方无须担心交易对手的信用风险</p>,4,D,共同对手方的引入.使得交易双方无须担心交易对手的信用风险.,0,0
1,(单选题)目前，我国证券投资基金托管费按日计提，按（）支付。,<p>A月</p><p>B日</p><p>C季</p><p>D周</p>,4,A,目前，我国的基金管理费、基金托管费及基金销售服务费均是按前一日基金资产净值的一定比例逐日计提，按月支付。,0,0
1,(单选题)数据分布越散，其波动性和不可预测性()。,<p>A越强</p><p>B越弱</p><p>C没有影响</p><p>D视情况而定</p>,4,A,很多情况下，我们不仅需要了解数据的期望值和平均水平，还要了解这组数据分布的离散程度，分布越散，其波动性和不可预测性也就越强。,0,0
1,(单选题)基金管理人运用证券投资基金买股票、债券的差价收入（）营业税。,<p>A暂免征收</p><p>B征收10％</p><p>C征收20％</p><p>D不征收</p>,4,A,按照《关于证券投资基金税收政策的通知》规定：本题出自金考必过，网址：www.jinkaobiguo.com，最好的刷题网站。自2004年1月1日起，对证券投资基金管理人运用基金买卖股票、债券的差价收入，继续免征营业税。,0,0
1,(单选题)（）的目标是获取最大资本利得，以具有高发展潜力但目前股利不多或并无股利分派之新兴产业或刚设立公司的普通股为主。,<p>A增值型基金</p><p>B积极成长型基金</p><p>C稳健成长型基金</p><p>D指数型基金</p>,4,B,积极成长型：目标是获取最大资本利得，以具有高发展潜力但目前股利不多或并无股利分派之新兴产业或刚设立公司的普通股为主。,0,0
1,(单选题)在银行间债券市场中，以下有关债券结算业务类型的说法错误的是（）。,<p>A债券借贷首期采用券券对付的结算方式</p><p>B质押式回购期限最长为1年</p><p>C债券远期交易的期限最长不得超过91天</p><p>D现券交易采用净价交易</p>,4,C,债券远期交易的期限最长不得超过365天。,0,0
1,(单选题)以下对资产配置的描述错误的是（）。,<p>A战略资产配置是为了满足投资者风险与收益目标所做的长期资产的配比</p><p>B战术资产配置为了能增强组合回报率，采取积极、主动的策略对资产比例进行调整</p><p>C战术资产配置的周期较长，一般是3~5年甚至更长时间</p><p>D战略资产配置注重长期资本回报，往往忽略资产的短期波动</p>,4,C,战术资产配置的周期较短，一般是一年以内。,0,0
1,(单选题)()不采用托管人结算模式。,<p>A证券投资基金</p><p>B保险资产</p><p>C证券公司单一信托计划</p><p>D企业年全基金</p>,4,C,采用托管人结算模式的托管资产类型有证券投资基金、保险资产、企业年金基金、基金管理公司特定客户资立管理定品、证券公司单一客户资产管理计划、证券公司集合资产管理计划、OFII基金等。,0,0
1,(单选题)期权合约中唯一的变量是（）。,<p>A执行价格</p><p>B到期日</p><p>C标的资产</p><p>D期权费</p>,4,D,期权合约中唯一的变量是期权费。,0,0
1,(单选题)下列有关场内证券交易与结算的说法，错误的是（）。,<p>A中国结算公司提供登记、存管与结算服务</p><p>B证券交易所实行的是自律管理</p><p>C设立证券登记结算机构须经证监会批准</p><p>D我国证券交易所的组织形式为公司制</p>,4,D,证券交易所的组织形式有会员制和公司制两种，本题出自金考必过，网址：www.jinkaobiguo.com，最好的刷题网站。我国上海证券交易所和深圳证券交易所都采用会员制。,0,0
1,(单选题)债券的发行人包括（）。,<p>A中央政府</p><p>B地方政府</p><p>C金融机构</p><p>D以上三种均是</p>,4,D,发行人包括中央政府、地方政府、金融机构、公司和企业。,0,0
1,(单选题)下列有关资本市场线的叙述，正确的是（）。,<p>A资本市场线描述了有效组合的期望收益率与风险之间的线性关系</p><p>B资本市场线与证券市场线相同</p><p>C资本市场线的风险衡量指标为贝塔系数</p><p>D证券市场线是有效投资组合的集合</p>,4,A,资本市场线揭示有效组合的收益风险均衡关系，证券市场线揭示任意证券或组合的收益风险均衡关系，BD错误；资本市场线的风险衡量指标为标准差，C错误。,0,0
1,(单选题)基金的会计核算对象不包活(),<p>A资产类</p><p>B资产负债共同类</p><p>C所有者权益类</p><p>D投资类</p>,4,D,基金的会计核算对象包括资产类、负债类、资产负债共同类、所有者权益类和损益类的核算。,0,0
1,(单选题)根据《证券投资基金管理公司管理办法》的相关规定，中外合资基金管理公司的境外股东应该具备的条件不包括（）。,<p>A最近3年没有受到监管机关或司法机关的处罚</p><p>B实缴资本不少于5亿元人民币的等值可自由兑换货币</p><p>C所在国家或地区具有完善的证券法律和监管制度</p><p>D经国务院批准的中国证监会规定的其他条件</p>,4,B,中外合资基金管理公司的境外股东应该具备的条件是实缴资本不少于3亿元人民币的等值可自由兑换货币。本题出自金考必过，网址：www.jinkaobiguo.com，最好的刷题网站。,0,0
