1,(单选题)跟踪偏离度=（）。 ,<p>A证券组合的真实收益率+基准组合的收益率 </p><p>B证券组合的真实收益率基准组合的收益率 </p><p>C证券组合的真实收益率基准组合的收益率 </p><p>D证券组合的真实收益率-基准组合的收益率</p>,4,D,跟踪偏离度＝证券组合的真实收益率－基准组合的收益率。,0,0
1,(单选题)融资融券对于投资者的要求较高，目前大部分证券公司要求普通投资者开户时间须达到（）个月，且持 有资金不得低于（）万元人民币。 ,<p>A12；50 </p><p>B12；100 </p><p>C18；50 </p><p>D18；100</p>,4,C,融资融券对于投资者的要求较高，目前大部分证券公司要求普通投资者开户时间须达到18个月，且持 有资金不得低于50万元人民币。,0,0
1,(单选题)下列关于做市商的表述， 不正确的是（）。 ,"<p>A报价驱动中，最为重要的角色就是做市商，因此报价驱动市场也被称为做市商制度 </p><p>B做市商的利润来源于买卖差价，如果证券差价小但交易频繁，做市商无法赚取利润 </p><p>C做市商通常由具备一定实力和信誉的证券投资法人承担,本身拥有大量可交易证券，买卖双方均直接与 做市商交易，而买卖价格则由做市商报出 </p><p>D当接到投资者卖出某种证券的报价时，做市商以自有资金买入；当接到投资者购买某种证券的报价 时， 做市商用其自由证券卖出</p>",4,B,虽然做市商的利润来源于买卖差价，但如果买卖差价太大，做市商将很难促成交易，从而失去赚取差 价的机会。另外，如果证券差价小但交易频繁，做市商仍可以赚取利润。,0,0
1,(单选题)（）是根据特定的时间间隔，在每个时间点上平均下单的算法。旨在使市场影响最小化的同时提供一个 平均执行价格。 ,<p>A成交量加权平均价格算法 </p><p>B时间加权平均价格算法 </p><p>C跟量算法 </p><p>D执行偏差算法</p>,4,B,时间加权平均价格算法，是根据特定的时间间隔，在每个时间点上平均下单的算法。旨在使市场影响 最小化的同时提供一个平均执行价格。本题出自金考必过，网址：www.jinkaobiguo.com，最好的刷题网站。,0,0
1,(单选题)（）是指扣除通货膨胀补偿后的利息率。 ,<p>A官方利率 </p><p>B名义利率 </p><p>C实际利率 </p><p>D浮动利率</p>,4,C,题干描述的是实际利率的内容。,0,0
1,(单选题)下列关于QDII基金风险管理说法，不正确的是（）。 ,<p>A相对投资于国内市场的基金，QDII存在特别的外汇风险、特定市场风险等 </p><p>B由于QDII基金涉及跨境交易，基金申购、赎回的时间要短于国内其他基金 </p><p>CQDII基金经理需要特别关注汇率变动可能对基金净值造成的影响， 定期评估汇率走向并调整基金持 有资产的币别和权重，必要时可采用外汇远期、外汇掉期等金融工具对冲汇率风险 </p><p>D跨境投资需要考虑当地的资本利得税、代扣所得税、税收征管要求等事项，尤其是美国FATCA法案 等要求</p>,4,B,QDII基金的流动性也需注意。由于QDII基金涉及跨境交易，基金申购、赎回的时间要长于国内其他基 金。,0,0
1,(单选题)目前，我国法规要求货币市场基金投资组合平均剩余期限在每个交易日均不得超过（）天。 ,<p>A90</p><p>B150</p><p>C180</p><p>D360</p>,4,C,目前，我国法规要求货币市场基金投资组合平均剩余期限在每个交易日均不得超过180天。,0,0
1,(单选题)目前保本基金普遍采用基于参数设定的投资组合保险策略，常用的是（）。 ,<p>AOBPI策略 </p><p>BTIPP策略 </p><p>CCPPI策略 </p><p>DVPPI策略</p>,4,C,目前保本基金普遍采用基于参数设定的投资组合保险策略，常用的是CPPI策略。,0,0
1,(单选题)下列选项中不属于流动性风险管理措施的是（）。 ,<p>A进行流动性压力测试，分析投资者申赎行为，测算当面临外部市场环境的重大变化或巨额赎回压力 时，冲击成本对投资组合资产流动性的影响，并相应调整资产配置和投资组合 </p><p>B及时对投资组合资产进行流动性分析和跟踪 </p><p>C建立交易对手信用评级制度，根据交易对手的资质、交易记录、信用记录和交收违约记录等因素对交 易对手进行信用评级，并定期更新 </p><p>D建立流动性风险管理制度，平衡资产的流动性与盈利性，以适应投资组合日常运作需要</p>,4,C,选项C属于信用风险管理的措施。,0,0
1,(单选题)夏普指数、特雷诺指数、詹森指数与CAPM之间的关系是 （）。 ,<p>A三种指数均以CAPM模型为基础 </p><p>B詹森指数不以CAPM为基础 </p><p>C夏普指数不以CAPM为基础 </p><p>D特雷诺指数不以CAPM为基础</p>,4,A,夏普指数、特雷诺指数、詹森指数均是建立在CAPM基础上的。,0,0
1,(单选题)假设某基金在2012年12月30的单位净为1.4848元，2013年9月1日的单位净值为1.7886元。期间该基金曾 于2013年2月28日每份额派发红利0.275元。该基金2013年2月27日（除息日前一天）的单位净值为1.8976 元，则该基金在这段时间内的时间加权收益率为（）。 ,<p>A0.4087</p><p>B0.4007</p><p>C0.4708</p><p>D0.487</p>,4,A,R＝{（1.89761.7886）[1.4848（1.8976－0.275）]－1}100%＝40.87%。,0,0
1,(单选题)（）是由中央银行发行的用于调节商业银行超额准备金的短期债务凭证。 ,<p>A商业票据 </p><p>B银行承兑汇票 </p><p>C中央银行票据 </p><p>D短期国债</p>,4,C,中央银行票据是由中央银行发行的用于调节商业银行超额准本金的短期债务凭证，简称央行票据或央 票。本题出自金考必过，网址：www.jinkaobiguo.com，最好的刷题网站。,0,0
1,(单选题)为解决不同方法制作出来的业绩报告之间缺乏可比性这个问题，CFA协会在（）年开始筹备成立全球投 资业绩标淮委员会，负责发展并制定单一绩效的呈现标准。 ,<p>A1993</p><p>B1995</p><p>C1997</p><p>D1999</p>,4,B,CFA协会在1995年开始筹备成立全球投资业绩标准委员会，负责发展并制定单一绩效的呈现标准。,0,0
1,(单选题)下列关于UCITS指令，说法错误的是（）。 ,<p>A为欧盟各成员国的开放式基金建立了一套跨境监管标准 </p><p>B结束了成员国对另类投资基金的监管各自为政且水平各异的状态 </p><p>C欧盟成员国各自以立法形式认可该指令后，本国符合要求的基金即可在其它成员国面向个人投资者发 售，无需再申请认可 </p><p>D符合要求的基金管理公司可以管理在其它成员国发行的基金</p>,4,B,选项B是关于AIFMD指令的相关内容。AIFMD结束了成员国对另类投资基金的监管各自为政且水平各 异的状态，协调成员国对另类投资基金的活动实现有效监管。,0,0
1,(单选题)（）反映的是单位销售收入反映的股价水平。 ,<p>A市净率 </p><p>B市盈率 </p><p>C市销率 </p><p>D市现率</p>,4,C,市销率反映的是单位销售收入反映的股价水平。,0,0
1,(单选题)投资政策说明书的内容不包括（）。 ,<p>A确定收益 </p><p>B业绩比较基准 </p><p>C投资回报率目标 </p><p>D投资决策流程</p>,4,A,投资政策说明书的内容一般包括： ①投资回报率目标； ②投资范围； ③投资限制（包括期限、流动性、合规等）； ④业绩比较基准。 有些机构还将投资决策流程、投资策略与交易机制等内容纳入投资政策说明书。,0,0
1,(单选题)以下关于回转交易的说法错误的是（）。 ,<p>A权证交易当日不能进行回转交易</p><p>B专项资产管理计划收益权份额协议交易实行当日回转交易 </p><p>CB股实行次日起回转交易 </p><p>D债券竞价交易实行当日回转交易</p>,4,A,权证交易是可以进行当日回转的，所以A项说法错误。,0,0
1,(单选题)基金管理公司申请到香港特区设立机构，应满足最近（）年内没有因违法违规行为受到行政处罚或者刑 事处罚的基本条件。 ,<p>A1</p><p>B2</p><p>C3</p><p>D4</p>,4,A,根据《证券投资基金管理公司管理办法》，基金管理公司申请到香港特区设立机构，应满足最近1年内 没有因违法违规行为受到行政处罚或者刑事处罚的基本条件。,0,0
1,(单选题)纽约商品交易所的石油合约以（）桶为最小交易单位，芝加哥商品交易所的小麦以（）蒲式耳为最小交 易单位。 ,<p>A500；1000 </p><p>B1000；5000 </p><p>C500；5000 </p><p>D5000；1000</p>,4,B,纽约商品交易所的石油合约以1000桶为最小交易单位，芝加哥商品交易所的小麦以5000蒲式耳为最小 交易单位。本题出自金考必过，网址：www.jinkaobiguo.com，最好的刷题网站。,0,0
1,(单选题)《全球另类投资调查》咨询报告指出，（）是最大的大宗商品管理公司，管理的资产规模达到了740亿美 元。 ,<p>A贝莱德 </p><p>B高盛公司 </p><p>C麦格理集团 </p><p>D布里奇沃特投资公司</p>,4,A,贝莱德是最大的大宗商品管理公司，管理的资产规模达到了740亿美元。,0,0
