1,(单选题)（）的特点是目标大、针对性不强、效果差。,<p>A产品差异策略</p><p>B专业化策略</p><p>C大众营销策略</p><p>D单一营销策略</p>,4,C,大众营销策的特点是目标大、针对性不强、效果差。,0,0
1,(单选题)新国家助学贷款管理办法规定通常贷款期限最长不得超过（）年。,<p>A6</p><p>B8</p><p>C10</p><p>D12</p>,4,C,原国家助学贷款管理办法规定国家助学贷款的期限最长不得超过8年，新国家助学贷款管理办法规定借款人必须在毕业后6年内还清，贷款期限最长不得超过10年。,0,0
1,(单选题)一般来说，短期借款到期（），贷后管理人员应向借款人发送还本付息通知单以督促借款人筹备资金按时足额还本付息。,<p>A5个工作日之前</p><p>B1周之前</p><p>C2周之前</p><p>D1个月之前</p>,4,B,一般来说，短期借款到期1周之前、中长期贷款到期1个月之前，贷后管理人员应向借款人发送还本付息通知单以督促借款人筹备资金按时足额还本付息。,0,0
1,(单选题)以保证方式担保的个人贷款，贷款人应由不少于（）名信贷人员完成。,<p>A2</p><p>B3</p><p>C4</p><p>D5</p>,4,A,以保证方式担保的个人贷款，贷款人应由不少于2名信贷人员完成。,0,0
1,(单选题)以下（）不是国家助学贷款的贷款审批人对贷款的审批内容。,<p>A对贷款申请审批表和贫困证明等内容进行核对</p><p>B审查每个申请学生每学年贷款金额是否超过6000元，具体金额根据学校的学费、住宿费和学生的困难程度确定</p><p>C学校当年贷款总金额和人数不超过全国学生贷款管理中心与经办银行总行下达的该校贷款年度计划额度</p><p>D学校当年贷款总额和人数不超过全国学生贷款管理中心与中国人民银行下达的该校贷款年度计划额度</p>,4,D,贷款审批人应对以下内容进行审查：(1)对贷款申请审批表和贫困证明等内容进行核对；(2)审查每个申请学生每学年贷款金额是否超过6000元，具体金额根据学校的学费、住宿费和生活费标准以及学生的困难程度确定；(3)学校当年贷款总金额和人数不超过全国学生贷款管理中心与经办银行总行下达的该校贷款年度计划额度；(4)其他需要审查的事项。,0,0
1,(单选题)以下不属于个人汽车贷款借款人应具备的条件的是（）。,<p>A中华人民共和国公民，或在中华人民共和国境内连续居住5年以上(含5年)的港、澳、台居民及外国人</p><p>B具有有效身份证明、固定和详细住址且具有完全民事行为能力</p><p>C具有稳定的合法收入或足够偿还贷款本息的个人合法资产</p><p>D能够支付贷款银行规定的首期付款</p>,4,A,A选项，应为中华人民共和国公民，或在中华人民共和国境内连续居住1年以上(含1年)的港、澳、台居民及外国人。,0,0
1,(单选题)以下各项中，不属于认为贷款或信用卡的逾期记录与实际不符的异议类型的是（）。,<p>A他人冒用或盗用个人身份获取信贷或信用卡</p><p>B贷款按约定由单位或担保公司或其他机构代偿，但他们没有及时到银行还款造成逾期</p><p>C个人办理的信用卡从来没有使用过因欠年费而造成逾期</p><p>D个人不清楚银行逾期的规则</p>,4,A,贷款或信用卡的逾期记录与实际不符的异议有以下几种典型情况：个人的贷款按约定由单位或担保公司或其他机构代个人偿还，但单位或担保公司或其他机构没有及时到银行还款造成逾期；个人办理的信用卡从来没有使用过因欠年费而造成逾期；个人不清楚银行确认逾期的规则，无意识中产生了逾期。选项A属于认为某一笔贷款或信用卡本人根本就没申请过的情况。,0,0
1,(单选题)以下关于个人征信安全管理的说法，不正确的是（）。,<p>A商业银行查询个人信用报告时应当取得被查询人的书面授权</p><p>B商业银行只有在办理贷款、信用卡、担保业务时，或贷后管理、发放信用卡时才能查看个人的信用报告</p><p>C个人信息不如银行存款安全</p><p>D商业银行如果违反规定可以被处以1万元以上3万元以下的罚款</p>,4,C,存续着个人信用报告的数据库是非常安全的。个人信息是通过保密专线从商业银行传送到征信中心的个人信用信息基础数据库的，在这个过程中没有任何人的干预，由计算机自动处理。,0,0
1,(单选题)以下关于中国银行对个人质押贷款额度的规定描述不正确的是（）。,<p>A中国银行个人存单质押贷款额度起点为人民币1000元</p><p>B贷款质押率不超过质押存单面额的90%</p><p>C凭证式和记账式国债质押贷款额度起点为5000元</p><p>D记账式国债质押贷款最高限额应不超过账户余额的90%</p>,4,D,记账式国债质押贷款最高限额应不超过账户余额的80%。,0,0
1,(单选题)以下条款中，效力优先级最小的是（）。,<p>A补充条款</p><p>B特定约定条款</p><p>C格式条款</p><p>D非格式条款</p>,4,C,补充条款、特别约定条款等非格式条款的效力优于格式条款。,0,0
1,(单选题)银行对个人信贷市场环境分析所采用的基本方法是（）。,<p>ASWOT分析方法</p><p>BCAME1分析方法</p><p>C5Cs系统分析方法</p><p>D5Ps系统分析方法</p>,4,A,银行主要采用SWOT分析方法对信贷市场内外部环境进行综合分析。B、C、D三项均属于客户信用评级方法。,0,0
1,(单选题)银行利率一般不包括（）利率。,<p>A年</p><p>B月</p><p>C日</p><p>D季</p>,4,D,利率是指一定时期内利息额与借贷货币额或储蓄存款额之间的比率。一般可分为年利率、月利率和日利率。,0,0
1,(单选题)银行市场细分的作用不包括（）。,<p>A有利于增加银行的市场份额</p><p>B有利于提高银行的经济效益</p><p>C有利于开拓新市场</p><p>D有利于选择目标市场</p>,4,A,银行市场细分的作用包括：1．有利于选择目标市场和制定营销策。2．有利于发掘市场机会，开拓新市场，更好地满足不同客户对金融产品的需求。3．有利于集中人力、物力投入目标市场，提高银行的经济效益。故选A。,0,0
1,(单选题)银行在与保险公司的合作过程中存在风险不包括（）。,<p>A保险公司依法解除保险合同，贷款银行的债权难以得到保证</p><p>B免责条款成为保险公司的“护身符”，贷款银行难以追究保险公司的保险责任</p><p>C保证保险的责任限制造成风险缺口</p><p>D借款人违约，担保公司往往难以承担保证责任，造成风险隐患</p>,4,D,ABC选项都属于银行在与保险公司的合作过程中存在的风险，而D选项属于第三方保证存在的风险。,0,0
1,(单选题)由《物权法》可知，我国对不动产实行（）制度。,<p>A统一登记</p><p>B分类登记</p><p>C重点登记</p><p>D全部登记</p>,4,A,国家对不动产实行统一登记制度。统一登记的范围、登记机构和登记办法，由法律、行政法规规定。,0,0
2,(多选题)不良个人住房贷款包括（）。,<p>A正常贷款</p><p>B关注贷款</p><p>C次级贷款</p><p>D可疑贷款</p><p>E损失贷款</p>,5,CDE,贷款风险分类应遵循不可拆分原则，即一笔贷款只能处于一种贷款形态，而不能同时处于多种贷款形态。贷款形态分正常、关注、次级、可疑和损失五类。,0,0
2,(多选题)从银行的利益出发，应当审查每笔个人住房贷款业务的（）。,<p>A完整性</p><p>B合规性</p><p>C可行性</p><p>D有效性</p><p>E经济性</p>,5,BCE,贷款审批人依据银行各类个人住房贷款办法及相关规定，结合国家宏观调控政策或行业投向政策，从银行利益出发审查每笔个人住房贷款业务的合规性、可行性及经济性，根据借款人的偿付能力以及抵押担保的充分性与可行性等情况，分析该笔业务预计给银行带来的收益和风险。,0,0
2,(多选题)单一营销策略的特点有（）。,<p>A针对性强</p><p>B适宜所有的人群</p><p>C适宜少数尖端客户</p><p>D为客户提供个性化服务</p><p>E营销成本高</p>,5,ACDE,单一营销策特点是针对性强，适宜少数尖端客户，为客户提供个性化服务、但营销渠道狭窄，营销成本高。,0,0
2,(多选题)对项目的合法性审查包括（）。,<p>A正确项目申请的合法性的调查</p><p>B对项目融资的合法性的调查</p><p>C对项目开发的合法性的调查</p><p>D对项目完成的合法性的调查</p><p>E对项目销售的合法性的调查</p>,5,BE,对项目的合法性审查包括对项目融资的合法性的调查和对项目销售的合法性的调查。,0,0
2,(多选题)个人贷款的合规管理主要包括（）。,<p>A建立重要制度</p><p>B将外部监管要求内化为银行制度</p><p>C健全流程</p><p>D加强对制度的执行</p><p>E加强对制度的监测</p>,5,ABCDE,个人贷款的合规管理主要有三大项，即：①建立重要的制度，将外部监管要求内化为银行制度；②健全流程；③加强对制度的执行和监测。,0,0
2,(多选题)个人贷款业务活动中法律关系的主体有（）。,<p>A商业银行</p><p>B中国人民银行</p><p>C银监会</p><p>D客户</p><p>E保监会</p>,5,AD,个人贷款业务活动中法律关系的主体有两个：商业银行和客户。,0,0
2,(多选题)个人教育贷款具有与其他个人贷款所不同的一些主要特点，包括（）。,<p>A具有社会公益性</p><p>B准入条件严格</p><p>C多为信用类贷款，风险度相对较高</p><p>D政策参与度较高</p><p>E贷款期限相对较短</p>,5,ACD,从各国发展情况来看，个人教育贷款具有与其他个人贷款所不同的一些特点，主要体现在以下两个方面：一是具有社会公益性，政策参与程度较高；二是多为信用类贷款，风险度相对较高，故本题答案为ACD。,0,0
2,(多选题)个人旅游消费贷款的贷款对象须满足的条件包括（）。,<p>A具有完全民事行为能力的自然人</p><p>B有当地常住户口或有效居留身份。有固定和详细的住址</p><p>C有正当职业和稳定可靠的收入来源，信用良好，具备按期偿还贷款本息的能力</p><p>D有银行认可的抵押或质押物</p><p>E必须选择银行认可的重信誉、资质等级高的旅行社</p>,5,ABCDE,个人旅游消费贷款的贷款对象须满足以下条件：①具有完全民事行为能力的自然人；②有当地常住户口或有效居留身份，有固定和详细的住址；③有正当职业和稳定可靠的收入来源，信用良好，具备按期偿还贷款本息的能力；④有银行认可的抵押或质押，或有足够代偿能力的个人或单位作为偿还贷款本息并承担连带责任的保证人；⑤必须选择银行认可的重信誉、资质等级高的旅行社(公司)；⑥银行规定的其他贷款条件。,0,0
2,(多选题)个人汽车贷款人受理借款人贷款申请后，应履行尽职调查职责，调查借款申请人的（）。,<p>A还款能力</p><p>B还款意愿</p><p>C购车行为的真实性</p><p>D贷款担保等情况</p><p>E申请材料真实性</p>,5,ABCDE,贷款人受理借款人贷款申请后，应履行尽职调查职责，主要由贷前调查人审核申请材料是否真实、完整、合法、有效，调查借款申请人的还款能力、还款意愿、购车行为的真实性以及贷款担保等情况，形成贷前调查报告。,0,0
2,(多选题)个人征信查询系统内容主要包括（）。,<p>A个人身份信息</p><p>B个人职业信息</p><p>C信用卡信息</p><p>D个人征信安全信息</p><p>E贷款信息</p>,5,ABDE,个人征信查询系统内容有：个人基本信息和信用交易信息，其中个人基本信息包括个人身份信息、居住信息、个人职业信息等，信用交易信息包括信用卡信息和贷款信息等，故本题答案为ABCE。,0,0
2,(多选题)个人征信系统信息来源，主要包括（）。,<p>A客户通过银行办理贷款业务</p><p>B客户通过银行办理信用卡业务</p><p>C客户通过银行办理担保业务</p><p>D个人标准信用信息基础数据库通过与公安部系统对接</p><p>E个人标准信用信息基础数据库通过与建设部以及劳动和社会保障部等政府相关部门、公用事业单位进行系统对接</p>,5,ABCDE,此外还包括个人标准信用信息基础数据库通过与信息产业部系统对接。,0,0
2,(多选题)个人住房贷款包括（）。,<p>A自营性个人住房贷款</p><p>B公积金个人住房贷款</p><p>C集资住房贷款</p><p>D个人住房组合贷款</p><p>E房屋装修贷款</p>,5,ABD,个人住房贷款包括自营性个人住房贷款、公积金个人住房贷款和个人住房组合贷款。,0,0
2,(多选题)个人住房贷款业务中，影响金融机构确定客户贷款利率、首付款比例的因素有（）。,<p>A借款人是否首次购房</p><p>B借款人所购住房是否是普通住房</p><p>C借款人的年龄</p><p>D借款人的信用记录</p><p>E借款人的还款能力</p>,5,ABCD,金融机构对客户的贷款利率、首付款比例，应根据借款人是首次购房或非首次购房、自住房或非自住房、套型建筑面积等是否是普通住房、借款人信用记录和还款能力等风险因素在下限以上区别确定。,0,0
2,(多选题)根据《汽车贷款管理办法》，经销商汽车贷款的贷款人应为每个经销商借款人建立独立的信贷档案，载明（）。,<p>A经销商法定代表人的健康状况</p><p>B中国人民银行核发的贷款卡(号)</p><p>C所购汽车及零部件的型号</p><p>D贷款担保状况</p><p>E经销商购买保险的状况</p>,5,BCDE,经销商信贷档案应载明以下内容：①经销商的名称、法定代表人及营业地址；②各类营业证照复印件；③经销商购买保险、商业信用及财务状况；④中国人民银行核发的贷款卡(号)；⑤所购汽车及零部件的型号、价格及用途；⑥贷款担保状况；⑦防范贷款风险所需的其他资料。,0,0
2,(多选题)公积金个人住房贷款业务中，承办银行的职责包括（）。,<p>A制定公积金信贷政策</p><p>B公积金借款合同签约、发放</p><p>C承担公积金信贷风险</p><p>D贷前检查审核、信息录入</p><p>E贷后审核、催收、查询对账</p>,5,BDE,制定公积金信贷政策和承担公积金信贷风险是公积金管理中心而不是承办银行的基本职责，所以A、C选项不符合题意。,0,0
2,(多选题)关于等比累进还款法和等额累进还款法说法正确的是（）。,<p>A等比累进还款法经计算后的任意一期还款计划中的本金或利息不得小于零</p><p>B等比累进还款法是借款人每个时间段上以一定比例累进的金额(分期还款额)偿还贷款，其中每个时间段归还的金额包括该时间段应还利息和本金</p><p>C等额递增还款法和等额递减还款法是等额累进还款法的两种不同方式</p><p>D如果预期未来收入呈下降趋势，则可选择等比递减法，减少利息支出</p><p>E等额累进还款法在初始时期，银行会根据客户的贷款总额、期限和资信水平测算出一个首期还款金额，客户按固定额度还款</p>,5,ABCDE,根据等额累进还款法和等比累进还款法的相关规定，可知ABCDE都正确，故答案为ABCDE。,0,0
2,(多选题)关于个人质押贷款，下列说法正确的是（）。,<p>A个人质押贷款一般是急用，要求效率较高，办理时间短，手续简便</p><p>B中国工商银行规定个人质押贷款的贷款期限一般为1年，最长不超过5年</p><p>C个人存单质押贷款额度起点为1000元人民币，贷款质押率不超过质押存单面额的90%</p><p>D提供银行认可的有效质物作质押担保是申请个人质押贷款条件之一</p><p>E以个人凭证式国债质押的，贷款期限内如遇利率调整，贷款利率不变</p>,5,ACDE,中国工商银行规定个人质押贷款的贷款期限一般为1年，最长不超过3年(含3年)，故本题答案为ACDE。,0,0
2,(多选题)关于下列贷款利率说法正确的有（）。,<p>A个人耐用消费品贷款的利率按中国人民银行公布的同期利率执行</p><p>B个人医疗贷款的利率执行中国人民银行规定的同档次贷款利率</p><p>C个人旅游消费贷款的利率执行中国人民银行规定的同档次贷款利率</p><p>D下岗失业人员小额担保贷款利率执行中国人民银行规定的同期贷款利率，不上浮</p><p>E个人住房装修贷款按中国人民银行规定的贷款利率政策执行</p>,5,CDE,根据个人贷款利率相关规定：个人耐用消费品贷款的利率执行中国人民银行规定的同档次贷款利率；个人医疗贷款的利率按中国人民银行公布的同期利率执行；个人旅游消费贷款的利率执行中国人民银行规定的同档次贷款利率；下岗失业人员小额担保贷款利率执行中国人民银行规定的同期贷款利率，不上浮；个人住房装修贷款按中国人民银行规定的贷款利率政策执行，故本题答案为CDE。,0,0
2,(多选题)国家助学贷款和商业助学贷款共同坚持的原则有（）。,<p>A财政贴息</p><p>B信用发放</p><p>C有效担保</p><p>D专款专用</p><p>E按期偿还</p>,5,DE,国家助学贷款实行“财政贴息、风险补偿、信用发放、专款专用和按期偿还”的原则，商业助学贷款实行“部分自筹、有效担保、专款专用和按期偿还”的原则。可见两者共同的原则包括专款专用和按期偿还。,0,0
2,(多选题)交通银行按照营销渠道与银行的隶属关系，将个人贷款营销渠道分为（）。,<p>A内部营销</p><p>B外部营销</p><p>C定向营销</p><p>D交叉营销</p><p>E现场营销</p>,5,ABD,交通银行按照营销渠道与银行的隶属关系，将个人贷款营销渠道分为内部营销、外部营销和交叉营销。,0,0
2,(多选题)借款人申请国家助学贷款，须具备的条件包括（）。,<p>A具有中华人民共和国国籍</p><p>B成绩排名在班级前30%</p><p>C无法支付正常完成学业所需的基本费用</p><p>D具有完全民事行为能力或由其法定监护人书面同意</p><p>E无违法违纪行为</p>,5,ACDE,国家助学贷款要求申请者必须：①具有中华人民共和国国籍，并持有合法、有效的身份证件；②家庭经济确实困难，无法支付正常完成学业所需的基本费用(包括学费、住宿费和基本生活费)；③具有完全民事行为能力(未成年人申请国家助学贷款需由其法定监护人书面同意)；④学习刻苦，能够正常完成学业；⑤诚实守信，遵纪守法，无违法违纪行为；⑥贷款银行规定的其他条件。,0,0
2,(多选题)目前我国个人汽车贷款的借款人还款意愿不高，致使商业银行汽车贷款的信用风险较高的主要原因是（）。,<p>A当前个人贷款违约成本很低，既没有高的罚息和违约金，也没有有效的黑名单制裁制度</p><p>B很多人对贷款资金的性质缺乏正确的认识，认为银行的钱就是国家的钱，借银行的钱就是借国家的钱，大量不良资产的出现更使得不少借款人有银行的贷款能不还就不还的想法</p><p>C我国的商业银行的风险控制能力较弱，没有认识到汽车贷款所面临的各种风险</p><p>D国家还缺乏对汽车贷款违约方面的法律措施</p><p>E银行在经营个人汽车贷款业务中，很难像公司贷款项目的评估分析那样判断借款人的资信状况、个人的收入水平、资产负债状况、偿还债务能力，一般仅依靠借款人的自我证明</p>,5,ABE,银行已经认识到个人汽车贷款的风险，我国也存在贷款违约方面的法律法规，故C选项和D选项都是错误的，本题答案为ABE。,0,0
2,(多选题)人员因素引起的操作风险包括（）。,<p>A操作失误</p><p>B员工内部欺诈</p><p>C内外勾结</p><p>D内部系统漏洞</p><p>E黑客攻击</p>,5,ABC,人员因素引起的操作风险包括操作失误、员工内部欺诈和内外勾结。,0,0
2,(多选题)商业助学贷款贷前调查的内容包括（）。,<p>A申请材料是否真实、完整、合法、有效</p><p>B借款申请人的还款能力</p><p>C还款意愿的真实性</p><p>D贷款担保情况</p><p>E借款申请人的成绩排名</p>,5,ABCD,商业助学贷款贷前调查的内容不包括借款申请人的成绩排名。,0,0
2,(多选题)设立质权，当事人应当采取书面形式订立质权合同。质权合同一般包括的条款有（）。,<p>A被担保债权的种类和数额</p><p>B债务人履行债务的期限</p><p>C质押财产的名称、数量、质量、状况</p><p>D担保的范围</p><p>E质押财产交付的时间</p>,5,ABCDE,设立质权，当事人应当采取书面形式订立质权合同。质权合同一般包括下列条款：(1)被担保债权的种类和数额；(2)债务人履行债务的期限；(3)质押财产的名称、数量、质量、状况；(4)担保的范围；(5)质押财产交付的时间，故本题答案为ABCDE。,0,0
2,(多选题)市场选择的意义主要包括（）。,<p>A市场选择使银行可以充分发挥优势并实现其经营目标和战略</p><p>B市场选择使银行可以加倍发挥其强于竞争对手的地方</p><p>C市场选择构成银行营销风险管理策略的一部分</p><p>D市场选择可以对所有客户群体提供不具有针对性的营销策略</p><p>E市场选择使银行可以针对外部影响作出反应</p>,5,ABCE,银行最终选择的目标市场是它认为最有吸引力的，即符合其经营目标和策的一组客户。选定目标市场后，银行可对这些客户群体选择有针对性的营销策，银行将为他们设计产品、制定价格。运用对其有吸引力的促销手段，建立适合他们的营销渠道。因此，D不正确。市场选择使银行可以充分发挥优势并实现其经营目标和战。使银行可以加倍发挥其强于竞争对手的地方，构成银行营销风险管理策的一部分，使银行可以充分利用它的资源，市场选择使银行可以针对外部影响作出反应。,0,0
2,(多选题)为防控有担保流动资金贷款的操作风险，贷款银行原则上不能接受（）为抵押物。,<p>A产权明晰的商用房</p><p>B工业用房</p><p>C划拨土地及地上定着物</p><p>D集体土地使用权</p><p>E工业土地及地上定着物</p>,5,BCDE,为防控有担保流动资金贷款的操作风险，银行应谨慎受理产权、使用权不明确或当前管理不够规范的不动产抵押，包括自建住房、集体土地使用权、划拨土地及地上定着物、工业土地及地上定着物、工业用房、仓库等，原则上不接受为有担保流动资金贷款的抵押物。,0,0
2,(多选题)下列各项中，符合商业助学贷款原则的是（）。,<p>A部分自筹</p><p>B有效担保</p><p>C财政贴息</p><p>D按期偿还</p><p>E专款专用</p>,5,ABCE,商业助学贷款是指银行按商业原则自主向个人发放的用于支持境内高等院校困难学生学费、住宿费和就读期间基本生活费的商业贷款。商业助学贷款实行“部分自筹、有效担保、专款专用和按期偿还”的原则。C选项，属于国家助学贷款的原则。,0,0
2,(多选题)下列关于个人耐用消费品贷款说法正确的是（）。,<p>A个人耐用消费品贷款也是国内开办较早的个人信贷产品</p><p>B个人耐用消费品贷款起点一般为人民币2000元</p><p>C借款人用于购买耐用消费品的首期付款额不得少于购物款的20%～30%，各家银行规定有所不同</p><p>D个人耐用消费品贷款是指银行向个人发放的、用于购买大额耐用消费品的人民币担保贷款</p><p>E有正当职业和稳定的经济收入，具有按期偿还贷款本息的能力是申请个人耐用消费品贷款需满足的条件之一</p>,5,ABCDE,根据个人耐用消费品贷款相关规定可知，该题所有说法均正确，故答案为ABCDE。,0,0
2,(多选题)下列关于商业助学贷款担保方式的说法，正确的有（）。,<p>A贷款银行可根据实际情况要求借款人投保相关保险</p><p>B以第三方保证方式申请贷款的，第三方提供的保证为不可撤销的连带责任保证</p><p>C贷款银行应鼓励同学之间互保，发扬互助精神</p><p>D以质押方式申请商业银行助学贷款，需办理物质或其权利凭证转移占有手续及相关出质登记</p><p>E以资产作抵押的，借款人应根据贷款银行的要求办理抵押物保险</p>,5,ABCE,保证人应具备品质良好、合法稳定的收入来源及与借款人同城户籍等条件。原则上不允许同学之间互保。,0,0
2,(多选题)下列属于个人贷款支付方式的是（）。,<p>A等额本息还款法</p><p>B等额本金还款法</p><p>C委托扣款</p><p>D到期一次还本付息</p><p>E柜面还款</p>,5,CE,贷款的支付方式有委托扣款和柜面还款两种方式。借款人可在合同中约定其中一种方式，也可以根据情况在贷款期间进行变更，故本题答案为CE。,0,0
2,(多选题)下列属于国家助学贷款原则的是（）。,<p>A分类管理</p><p>B财政贴息</p><p>C专款专用</p><p>D风险补偿</p><p>E微利贴息</p>,5,BCD,国家助学贷款采取“借款人一次申请、贷款银行一次审批、单户核算、分次发放”的方式，实行“财政贴息、风险补偿、信用发放、专款专用和按期偿还”的原则。,0,0
2,(多选题)一般将客户经理分为（）。,<p>A高级客户经理</p><p>B一级客户经理</p><p>C二级客户经理</p><p>D三级客户经理</p><p>E四级客户经理</p>,5,ABCD,E选项应该是见习客户经理。,0,0
2,(多选题)以下属于合作机构管理措施的有（）。,<p>A加强贷前调查，切实核查合作机构的资信状况</p><p>B分析合作机构的组织结构是否健全</p><p>C严格控制合作担保机构的准入</p><p>D对由专业担保机构担保的贷款，要实时监控担保方保持足额的保证金</p><p>E对于履约保证风险，要严格按照有关规定与保险公司签订合作协议，避免事后因为协议漏洞造成贷款损失</p>,5,ACDE,合作机构管理的风险防控措施来源：(1)加强贷前调查，切实核查经销商的资信状况。(2)按照银行的相关要求，严格控制合作担保机构的准入，动态监控合作担保机构的经营管理情况、资金实力和担保能力，及时调整其担保额度。(3)由经销商、专业担保机构担保的贷款，应实时监控担保方是否保持足额的保证金。(4)与保险公司的履约保证保险合作，应严格按照有关规定拟定合作协议，约定履约保证保险的办理、出险理赔、免责条款等事项，避免事后因合作协议的无效或漏洞无法理赔，造成贷款损失情况的发生。,0,0
2,(多选题)银行个人贷款产品的市场定位过程包括（）。,<p>A识别重要属性</p><p>B制定定位图</p><p>C定位选择</p><p>D执行定位</p><p>E市场细分</p>,5,ABCD,银行个人贷款产品的市场定位过程包括：识别重要属性、制作定位图、定位选择和执行定位。,0,0
2,(多选题)银行营销组织中，支行具有的职责有（）。,<p>A细化营销方案</p><p>B客户风险的具体管理</p><p>C实施对营销人员的管理</p><p>D建立营销队伍</p><p>E客户开发与维护。直接进行业务谈判</p>,5,BDE,银行营销组织中，支行主要负责实施具体营销，即：①客户开发与维护，直接进行业务谈判；②实现交易，为客户提供服务；③收集和反馈客户信息，处理客户异议；④进行市场调查，了解市场环境，为银行进行营销活动做好准备工作；⑤客户风险的具体管理；⑥建立营销队伍。A、C两项均是分行的职责。,0,0
2,(多选题)银行在选择目标市场时，必须综合考虑的因素不包括（）。,<p>A银行的能力</p><p>B细分市场结构吸引力</p><p>C信贷资金的供求状况</p><p>D客户的信贷需求与动机</p><p>E银行自身的特点和条件</p>,5,CD,银行能否有效地选择目标市场，直接关系到营销的成败以及市场占有率。在选择目标市场时，银行必须从自身的特点和条件出发，综合考虑以下几个因素：①是否符合银行的目标和能力；②有一定的规模和发展潜力；③细分市场机构的吸引力。,0,0
2,(多选题)在定向营销中银行与客户的交流阶段通常会涉及哪些步骤?（）,<p>A感觉、认知</p><p>B宣传、介绍</p><p>C发展、保留</p><p>D发展、再发展</p><p>E获得</p>,5,ACE,银行与客户之间需要建立一个长期友好的关系，须建立有效的交流渠道，这就是银行的定向营销。其在与客户的交流阶段，通常会涉及几个步骤，分别是感觉、认知、获得、发展和保留。,0,0
2,(多选题)在个人住房贷款中，为了防范借款人的信用风险应采取的措施包括（）。,<p>A验证工资收入的真实性</p><p>B验证租金收入的真实性</p><p>C深入了解客户还款意愿</p><p>D验证经营收入的真实性</p><p>E验证投资收入的真实性</p>,5,ABCDE,信用风险防范措施包括：(1)加强对借款人还款能力的甄别：①验证工资收入的真实性；②验证租金收入的真实性；③验证投资收入的真实性；④验证经营收入的真实性。(2)深入了解客户还款意愿。,0,0
2,(多选题)质押担保是指借款人或第三人转移对法定财产的占有，将该财产作为贷款的担保。质押担保包括（）。,<p>A固定资产质押</p><p>B流动资产质押</p><p>C动产质押</p><p>D不动产质押</p><p>E权利质押</p>,5,CE,质押担保是指借款人或第三人转移对法定财产的占有，将该财产作为贷款的担保。质押担保分为动产质押和权利质押。,0,0
3,(判断题)出质人转让或者许可他人使用出质的知识产权中的财产权所得的价款，应当向质权人提前清偿债务或者提存。（）,<p>A正确</p><p>B错误</p>,2,A,出质人转让或者许可他人使用出质的知识产权中的财产权所得的价款，应当向质权人提前清偿债务或者提存。,0,0
3,(判断题)贷款发放要遵循审贷与放贷分离的原则，由独立的放款管理部门或岗位负责落实放款条件、发放满足约定条件的贷款。（）,<p>A正确</p><p>B错误</p>,2,A,根据《个人贷款管理暂行办法》第27条规定，贷款人应加强对贷款的发放管理，遵循审贷与放贷分离的原则，设立独立的放款管理部门或岗位，负责落实放款条件、发放满足约定条件的个人贷款。,0,0
3,(判断题)当产品的市场可加以划分，即每个不同分市场有不同偏好的消费群体，可以采用市场型营销组织结构。（）,<p>A正确</p><p>B错误</p>,2,A,当产品的市场可加以划分，即每个不同分市场有不同偏好的消费群体。可以采用这种市场型营销组织结构。,0,0
3,(判断题)个人贷款的对象为自然人和法人。（）,<p>A正确</p><p>B错误</p>,2,B,个人贷款的对象仅限于自然人，而不包括法人。,0,0
3,(判断题)个人汽车贷款采取抵押担保时，只需调查抵押物的合法性。（）,<p>A正确</p><p>B错误</p>,2,B,采取抵押担保方式的，应调查抵押物的合法性，抵押人对抵押物占有的合法性和抵押物价值与存续状况。,0,0
3,(判断题)个人质押贷款发放后，如遇基准利率调整，按中国人民银行和商业银行总行有关利率管理规定进行调整。（）,<p>A正确</p><p>B错误</p>,2,A,个人质押贷款发放后，如遇基准利率调整，按中国人民银行和商业银行总行有关利率管理规定进行调整。,0,0
3,(判断题)个人住房贷款的期限最长可达20年。（）,<p>A正确</p><p>B错误</p>,2,B,个人住房贷款的期限最长可达30年。,0,0
3,(判断题)公积金个人住房贷款的利率同自营性个人住房贷款利率相同。（）,<p>A正确</p><p>B错误</p>,2,B,公积金个人住房贷款的利率比自营性个人住房贷款利率低。,0,0
3,(判断题)国家助学贷款风险补偿专项资金由财政承担60%，普通高校承担40%。（）,<p>A正确</p><p>B错误</p>,2,B,国家助学贷款风险补偿专项资金由财政和普通高校各承担50%。,0,0
3,(判断题)没有参加住房公积金制度的职工也可以申请公积金个人住房贷款。（）,<p>A正确</p><p>B错误</p>,2,A,只有参加住房公积金制度的职工才可以申请公积金个人住房贷款，没有参加住房公积金制度的职工就不能申请公积金个人住房贷款。,0,0
3,(判断题)设备贷款的期限由贷款银行根据贷款风险管理相关原则确定，一般为3年，最长不超过5年。（）,<p>A正确</p><p>B错误</p>,2,A,设备贷款的期限由贷款银行根据贷款风险管理相关原则确定，一般为3年，最长不超过5年，故本题说法正确。,0,0
3,(判断题)一手房个人住房贷款，借款人用所购房屋作抵押，在借款人购买的房屋办好抵押登记之前，由开发商提供阶段性或全程担保。（）,<p>A正确</p><p>B错误</p>,2,A,目前，商业性个人一手住房贷款中较为普遍的贷款营销方式是银行与房地产开发商合作的方式。这种合作方式是指房地产开发商与贷款银行共同签订《商品房销售贷款合作协议》，由银行向购买开发商房屋的购房者提供个人住房贷款，借款人用所购房屋作抵押，在借款人购买的房屋没有办好抵押登记前。由开发商提供阶段性或全程担保。,0,0
